id,path,functional,transactional,path_length,diagram,useCase
1,User->Sent button->retrieves sent messages->message,EI,CTRL|DM|EI,undefined,View sent messages,View sent messages
2,User->Sent button->retrieves sent messages->display list of sent messages->no sent messages,EQ,CTRL|INT,undefined,View sent messages,View sent messages
3,User->Sent button->retrieves sent messages->display list of sent messages->List of sent messages,EQ,CTRL|INT,undefined,View sent messages,View sent messages
