NUM,PROJ,Effort,Path_Num,UseCase_Num,Total_Degree,Element_Num,Total_Links,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,ControlNum,Entity_Num,attribute_num,operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Number_Of_Derived_Classes,Number_Of_Classes_Inherited,Number_Of_Classes_Inherited_From,Number_Of_Children,Depth_Inheritance_Tree,Coupling_Between_Objects, para_num, usage_num, real_num, assoc_num, externaloper_num, objectdata_num, avg_operation, avg_attribute, avg_parameter, avg_usage, avg_real, avg_assoc, avg_instVar, weightedoper_num, method_size,DET,RET,ILF,EIF,EI,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Tran_Length,Arch_Diff,Type,Effort_Norm,Norm_Factor,KSLOC,Simple_UC, Average_UC, Complex_UC, Normalized_UC_Effort,UEUCW,UEXUCW,UDUCW,UAW,TCF,EF,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,Effort_Norm_UCP
1,f14a_cash_doctor,724,58,10,0,131,0,0,0,0,0,0,0,10,35,0,10,215,0.116883117,0.08056872,23,17,23,25,17,27,25,0,0,0,0,0,5,0,3.5,0,0,0,0,3.5,0,0,NaN,1,0,0,0,0,0,0,5,0,0,6,0,6,0,6,52,6,undefined,undefined,,1146.356595,0.900582176,2.95,0,0,10,0,150,12,12,9,0.9,1.025,146.68,19.37,19.37,580,870,696,652.02
2,F14a_snapp_voice_communication_system,103,55,8,0,131,0,0,0,0,0,0,0,16,0,0,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,10,0,0,15,0,18,0,15,37,18,undefined,undefined,,139.1910531,1.38877966,2.218,0,0,8,0,120,36,36,12,0.955,1.025,129.21,46.99,46.99,550,825,660,143.04
3,F15a_nice_ecommerse,617,125,24,0,262,0,0,0,0,0,0,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,5,0,0,25,0,30,0,25,95,30,undefined,undefined,,474.8157347,0.93928736,5.129,0,0,24,0,360,60,60,9,0.805,1.025,304.47,56.93,56.93,1250,1875,1500,579.54
4,s16b_combat_conflict,NA,35,7,0,76,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,3,0,0,10,0,10,0,10,25,10,undefined,undefined,,NA,NA,NA,0,0,7,0,105,20,20,0,0,0,0,0,0,350,525,420,0
5,f14a_gotrla,482,112,10,0,175,0,0,0,0,0,0,0,15,80,0,15,267,0.098591549,0.064638783,24,17,24,26,17,28,26,0,0,0,0,0,10,0,5.333333333,0,0,0,0,5.333333333,0,0,NaN,1,0,0,0,0,0,0,9,0,0,18,0,18,0,18,94,18,undefined,undefined,,567.9063205,1.414329134,6.569,0,0,10,0,150,36,36,9,0.835,0.995,132.1,37.39,37.39,1120,1680,1344,681.71
6,F14a_women_at_work_website_redesign,140.5,39,8,0,102,0,0,0,0,0,0,0,11,27,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2.454545455,0,0,0,0,2.454545455,0,0,NaN,1,0,0,0,0,0,0,3,0,0,6,0,6,0,6,33,6,undefined,undefined,,415.8336444,1.712683888,3.2,0,0,8,0,120,12,12,12,0.855,1.025,115.68,21.03,21.03,390,585,468,240.63
7,S15b_mission_science_irobots,759,52,10,0,125,0,0,0,0,0,0,0,14,3,16,14,14,0,0,0,0,0,0,0,0,0,20,0,0,0,16,1,1.142857143,0.214285714,1.428571429,0,0,0,0.214285714,0,0,NaN,1,0,0,0,0,0,0,5,0,0,10,0,10,0,10,42,10,undefined,undefined,,2025.425627,1.907894687,12.263,0,0,10,0,150,20,20,6,0.865,1.175,158.55,26.43,26.43,520,780,624,1448.09
8,f14a_e_lock_box,125,450,16,0,519,0,0,0,0,0,0,0,38,165,0,38,253,0.100371747,0.068273092,23,17,23,25,17,27,25,0,0,0,0,0,33,0,4.342105263,0,0,0,0,4.342105263,0,0,NaN,1,0,0,0,0,0,0,39,0,0,79,0,79,0,79,371,79,undefined,undefined,,135.4849137,1.124665,1.1,0,0,16,0,240,158,158,12,0.93,0.8,187.49,126.48,126.48,4500,6750,5400,140.58
9,F14a_tipsure_com,266,80,8,0,185,0,0,0,0,0,0,0,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,14,0,0,1,0,1,0,1,79,1,undefined,undefined,,734.2446645,1.479827535,0.73,0,0,8,0,120,2,2,9,0.855,1.025,113.05,9.64,9.64,800,1200,960,393.63
10,F15a_tour_conductor,1347,34,8,0,83,0,0,0,0,0,0,0,9,21,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2.333333333,0,0,0,0,2.333333333,0,0,NaN,1,0,0,0,0,0,0,6,0,0,8,0,8,0,8,26,8,undefined,undefined,,3279.959597,1.877501954,3.679,0,0,8,0,120,16,16,9,0.885,0.89,101.61,19.69,19.69,340,510,408,2529
11,F14a_mobile_application_for_mobile_controlled_lighting,257.5,27,5,0,59,0,0,0,0,0,0,0,1,0,0,1,268,0.098245614,0.064393939,24,17,24,26,17,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,6,0,0,4,0,4,0,4,23,4,undefined,undefined,,1012.182121,1.802905644,1.5,0,0,5,0,75,8,8,6,0.925,1.04,77.92,13.47,13.47,270,405,324,464.25
12,F15a_combat_conflict,1281,35,7,0,76,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,3,0,0,10,0,10,0,10,25,10,undefined,undefined,,1064.700087,0.891412662,7.593,0,0,7,0,105,20,20,6,0.795,0.92,81.19,19.02,19.02,350,525,420,1141.9
13,s15b_snap_valet,302.5,199,11,0,294,0,0,0,0,0,0,0,11,48,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4.363636364,0,0,0,0,4.363636364,0,0,NaN,1,0,0,0,0,0,0,23,0,0,38,0,39,0,38,160,39,undefined,undefined,,618.0960915,1.891492697,0.552,0,0,11,0,165,78,78,9,0.925,0.965,155.32,77.66,77.66,1990,2985,2388,572.18
14,F14a_black_professionals_net,146.5,488,26,0,499,0,0,0,0,0,0,0,46,129,97,46,205,0.122171946,0.084577114,23,17,23,25,17,27,25,116,0,0,0,97,5,2.108695652,2.804347826,2.52173913,0,0,0,2.804347826,0,0,NaN,1,0,0,0,0,0,0,18,0,0,59,0,65,0,59,423,65,undefined,undefined,,155.7134523,1.01005972,9.202,0,0,26,0,390,130,130,6,0.9,1.01,359.96,123.62,123.62,4880,7234,5780,147.97
15,F14a_sharethetraining_com,571,91,13,0,191,0,0,0,0,0,0,0,28,99,31,28,28,0,0,0,0,0,0,0,0,0,31,0,0,0,31,8,1.107142857,3.535714286,1.107142857,0,0,0,3.535714286,0,0,NaN,1,0,0,0,0,0,0,9,0,0,23,0,24,0,23,67,24,undefined,undefined,,781.7889225,1.192739052,8.116,0,0,13,0,195,48,48,9,0.88,1.04,186.7,52.17,52.17,910,1244,982,681.05
