id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,RegularImmutableSet,0,0,0,0,0,0
2,ASN1ApplicationSpecificParser,0,0,0,0,0,0
3,PeerConnectedEventListener,0,0,0,0,0,0
