id,transaction,useCase,transactional,TL, DETs, TD, Arch_Diff
1,stl#Driver:display failure message->Driver:display failure message,View video clips,CTRL,2,0,10,20
2,stl#Driver:View Review Screen->Driver:View Review Screen->View Review Screen:Display Thumbnails->Display Thumbnails:Retrieve recorded videos->Retrieve recorded videos:Circular Buffer,View video clips,TRAN_NA,5,0,10,50
3,stl#Driver:View Review Screen->Driver:View Review Screen->View Review Screen:Display Thumbnails->Display Thumbnails:Click on thumbnails->Click on thumbnails:display failure message,View video clips,TRAN_NA,5,0,10,50
4,stl#Driver:View Review Screen->Driver:View Review Screen->View Review Screen:Display Thumbnails->Display Thumbnails:Click on thumbnails->Click on thumbnails:Display video clips->Display video clips:View Review Screen->View Review Screen:Display Thumbnails,View video clips,TRAN_NA,7,0,10,70
