id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Actor,actor,3,0,Use Case Model,Admin searches for photo by event,
2,Pop up photo connection error,control,1,1,Use Case Model,Admin searches for photo by event,
3,Photo list,boundary,0,1,Use Case Model,Admin searches for photo by event,
4,Display event list,control,1,1,Use Case Model,Admin searches for photo by event,
5,Event list,boundary,1,4,Use Case Model,Admin searches for photo by event,
6,Admin page,boundary,0,3,Use Case Model,Admin searches for photo by event,
7,event,entity,1,1,Use Case Model,Admin searches for photo by event,
8,Get photo list,control,2,1,Use Case Model,Admin searches for photo by event,
9,photo,entity,1,1,Use Case Model,Admin searches for photo by event,
10,Get event list,control,3,1,Use Case Model,Admin searches for photo by event,
11,display photo list,control,1,1,Use Case Model,Admin searches for photo by event,
12,pop up event connection error,control,2,0,Use Case Model,Admin searches for photo by event,
13,Search box,boundary,0,4,Use Case Model,Admin searches for photo by event,
