id,element,useCase,type,outboundDegree,inboundDegree
1,bookTickets,Use Case1,0,undefined,undefined
2,1,Use Case1,0,undefined,undefined
3,2,Use Case1,0,undefined,undefined
4,3,Use Case1,0,undefined,undefined
5,4,Use Case1,0,undefined,undefined
6,5,Use Case1,0,undefined,undefined
7,6,Use Case1,0,undefined,undefined
8,undefined,Use Case1,0,undefined,undefined
9,7,Use Case1,0,undefined,undefined
10,13,Use Case1,0,undefined,undefined
11,8,Use Case1,0,undefined,undefined
12,stl#bookTickets,Use Case1,0,undefined,undefined
13,stl#2,Use Case1,0,undefined,undefined
14,Actor1:Buy tickets interface,Use Case2,0,undefined,undefined
15,Actor1:payment success message,Use Case2,0,undefined,undefined
16,Buy tickets interface:pay the bill,Use Case2,0,undefined,undefined
17,pay the bill:payment success message,Use Case2,0,undefined,undefined
18,pay the bill:save bill records,Use Case2,0,undefined,undefined
19,stl#Actor1:Buy tickets interface,Use Case2,0,undefined,undefined
20,stl#Actor1:payment success message,Use Case2,0,undefined,undefined
21,Activity1,Use Case3,0,undefined,undefined
22,Validate User Information,Use Case3,0,undefined,undefined
23,EA_Activity1,Use Case3,0,undefined,undefined
24,undefined,Use Case3,0,undefined,undefined
25,fork,Use Case3,0,undefined,undefined
26,Input Username and Password,Use Case3,0,undefined,undefined
27,Activity2,Use Case3,0,undefined,undefined
