id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Offers database,entity,0,1,Create Offer,Create Offer,
2,Create offer,control,1,1,Create Offer,Create Offer,
3,Create Geo-fence,control,1,1,Create Offer,Create Offer,
4,Process,control,1,4,Create Offer,Create Offer,
5,Design Coupon Page,boundary,1,3,Create Offer,Create Offer,
6,Create Geo-fence page,boundary,1,2,Create Offer,Create Offer,
7,Create offer page 2,boundary,1,2,Create Offer,Create Offer,
8,Display error message,control,2,3,Create Offer,Create Offer,
9,Create Offer Page 1,boundary,1,1,Create Offer,Create Offer,
10,Design coupon,control,2,2,Create Offer,Create Offer,
11,Link offers,control,1,2,Create Offer,Create Offer,
12,Proceed,control,4,1,Create Offer,Create Offer,
13,Check,control,2,1,Create Offer,Create Offer,
14,Link DC & Geo,control,4,1,Create Offer,Create Offer,
15,Offers Page,boundary,1,1,Create Offer,Create Offer,
16,Enter Value,control,3,1,Create Offer,Create Offer,
17,FT sales rep,actor,3,0,Create Offer,Create Offer,
