id, element_name, attribute_num,operation_num
EAID_B70243DC_64BE_4632_A6B6_DAB02B205995,Domain Model,0,0,0
EAID_9C24A1BD_FC67_420d_A2BD_4CB5707E63EB,Domain Objects,0,0,6
EAID_ECA907EB_61F2_44b0_81D5_C9DFE66CF825,Domain Objects,0,0,17
