id,element,attributeNum,operationNum,diagram
1,MessageService,0,5,Domain Objects
2,Message,8,0,Domain Objects
3,MatchService,0,1,Domain Objects
4,User,4,7,Domain Objects
5,Language,3,3,Domain Objects
6,Skill,3,2,Domain Objects
7,Desire,3,2,Domain Objects
