id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,User,0,0,0,0,0,0
2,Show Rank,0,0,0,0,0,0
3,Algortihm to scale,0,0,0,0,0,0
4,Display score at end of battle,0,0,0,0,0,0
5,Update Database,0,0,0,0,0,0
6,Count the number of enemies killed,0,0,0,0,0,0
7,Single weapon,0,0,0,0,0,0
8,Avatar's Page,0,0,0,0,0,0
9,Specify Credentials,0,0,0,0,0,0
10,check password format,0,0,0,0,0,0
11,AR mode,0,0,0,0,0,0
12,Location,0,0,0,0,0,0
13,Make Difficult to hit,0,0,0,0,0,0
14,Time Elapsed,0,0,0,0,0,0
15,Get level,0,0,0,0,0,0
16,Doug's E-book,0,0,0,0,0,0
17,Map,0,0,0,0,0,0
18,Places,0,0,0,0,0,0
19,VR scene library,0,0,0,0,0,0
20,GPS,0,0,0,0,0,0
21,if in Hawaii,0,0,0,0,0,0
22,Achivements,0,0,0,0,0,0
