id,attribute,type,element
1,mWeeks,SystemUIService,WeekSelector
2,mActivity,DessertCaseDream,AlbumBrowserActivity
3,mActivity,SwipeHelper,NotificationRowLayout
4,undefined,SwipeHelper,NotificationRowLayout
5,mActivity,LoadAverageService,LoadAverageService
6,mStats,CpuTracker,LoadAverageService
7,sInstance,BootReceiver,MediaAppWidgetProvider
8,mAppWidgetProvider,BootReceiver,MediaAppWidgetProvider
9,mPrevButton,DessertCaseView,DessertCaseDream
10,undefined,DessertCaseView,DessertCaseDream
11,mView,DessertCaseView,DessertCaseDream
12,undefined,DessertCaseView,DessertCaseDream
13,mBar,BaseStatusBar,DelegateViewHelper
14,mBar,BaseStatusBar,DelegateViewHelper
15,undefined,CommandQueue,BaseStatusBar
16,mReceiver,WallpaperObserver,ImageWallpaper
17,mEngine,DrawableEngine:mReceiver,ImageWallpaper
18,mScaler,ViewScaler,ExpandHelper
19,mTracker,BatteryTracker,BatteryMeterView
20,mCmd,Command,NotificationPlayer
21,mThread,CmdThread,NotificationPlayer
22,mAsyncPlayer,NotificationPlayer:mThread,NotificationPlayer
23,taskDescription,TaskDescription,RecentsActivity
24,mItemToAnimateInWhenWindowAnimationIsFinished,ViewHolder:taskDescription,RecentsActivity
25,mRecentsPanel,RecentsPanelView:mItemToAnimateInWhenWindowAnimationIsFinished,RecentsActivity
26,undefined,RecentsPanelView:mItemToAnimateInWhenWindowAnimationIsFinished,RecentsActivity
27,mAdapter,TaskDescriptionAdapter,RecentsVerticalScrollView
28,mAdapter,TaskDescriptionAdapter,RecentsVerticalScrollView
29,mScreenshot,GlobalScreenshot,TakeScreenshotService
30,mControl,ToggleSlider,BrightnessController
31,mBrightnessController,BrightnessController:mControl,BrightnessDialog
32,mBrightnessDialog,BrightnessDialog:mBrightnessController,SettingsUI
33,mCurrentGesture,Gesture,NotificationPanelView
34,mStatusBar,PhoneStatusBar,NotificationPanelView
35,undefined,StatusBarIconView,NotificationData
36,mServiceConnection,SC,SystemBars
37,mServiceMonitor,ServiceMonitor:mServiceConnection,SystemBars
38,mNC,NetworkController,SignalClusterView
39,mDisconnectedReceiver,UsbDisconnectedReceiver,UsbDebuggingActivity
40,mDisconnectedReceiver,UsbDisconnectedReceiver,UsbConfirmActivity
41,mDisconnectedReceiver,UsbDisconnectedReceiver,UsbConfirmActivity
42,mDisconnectedReceiver,UsbDisconnectedReceiver,UsbConfirmActivity
43,undefined,PanelHolder:mBar,PanelBar
44,mBar,PanelBar,PanelHolder
45,undefined,FlingTracker,PanelHolder
46,mView,QuickSettingsBasicTile,QuickSettingsModel
47,undefined,CurrentUserTracker,QuickSettingsModel
48,mPile,NotificationRowLayout,PhoneStatusBar
49,undefined,PhoneStatusBarPolicy,PhoneStatusBar
50,mExpandHelper,ExpandHelper:mScaler,StatusBarWindowView
51,mBar,PhoneStatusBar,PhoneStatusBarView
52,undefined,PhoneStatusBarView:mBar,PhoneStatusBarTransitions
53,mBarBackground,BarBackgroundDrawable,BarTransitions
54,mDelegateHelper,DelegateViewHelper:mBar,NavigationBarView
55,undefined,NavigationBarView:mDelegateHelper,NavigationBarTransitions
56,mBar,PanelBar,QuickSettings
57,mQS,QuickSettings:mBar,QuickSettings
58,undefined,SwipeHelper,HeadsUpNotificationView
59,undefined,PullUpUIManager,RufusNavBarView
60,mTicker,Ticker,Ticker
61,pullUpUIManager,PullUpUIManager,PullUpManager
62,undefined,NavCtrlHolderUI:swipe,NavCtrlHolderManager
63,syncSetting,SyncSetting,SyncSetting
64,syncSetting,SyncSetting,SyncSetting
65,undefined,PanelConfig,SyncSetting
66,undefined,RufusNavBarView,RufusNavBarTransitions
67,swipe,SwipeLayout,NavCtrlHolderUI
68,undefined,NavCtrlHolderManager,ControlPanelManager
69,undefined,ControlPanelManager,ControlPanelLayout
