id,attribute,type,element,diagram
1,date,long,Message,Domain Objects
2,delete_receiver,int,Message,Domain Objects
3,delete_sender,int,Message,Domain Objects
4,message_body,char,Message,Domain Objects
5,message_id,int,Message,Domain Objects
6,receiver_name,char,Message,Domain Objects
7,sender_name,char,Message,Domain Objects
8,status,int,Message,Domain Objects
9,email,char,User,Domain Objects
10,password,int,User,Domain Objects
11,user_id,int,User,Domain Objects
12,user_name,char,User,Domain Objects
13,language_abbreviation,char,Language,Domain Objects
14,language_id,int,Language,Domain Objects
15,language_name,char,Language,Domain Objects
16,language_id,int,Skill,Domain Objects
17,skill_level,int,Skill,Domain Objects
18,user_id,int,Skill,Domain Objects
19,desired_level,int,Desire,Domain Objects
20,language_id,int,Desire,Domain Objects
21,user_id,int,Desire,Domain Objects
