id,attribute,type,element,diagram
1,address1,char,location,Domain Objects
2,address2,char,location,Domain Objects
3,city,char,location,Domain Objects
4,dfee,char,location,Domain Objects
5,id,int,location,Domain Objects
6,state,char,location,Domain Objects
7,zip,char,location,Domain Objects
8,deliveryfee,float,deliveryfee,Domain Objects
9,hour,int,deliveryfee,Domain Objects
10,zip,char,deliveryfee,Domain Objects
11,city,char,Zipcode,Domain Objects
12,id,int,Zipcode,Domain Objects
13,state,char,Zipcode,Domain Objects
14,zip,char,Zipcode,Domain Objects
15,deliveryfees_id,int,store_deliveryfee,Domain Objects
16,store_id,int,store_deliveryfee,Domain Objects
17,deliversto_id,int,store_zipcode,Domain Objects
18,stores_id,int,store_zipcode,Domain Objects
19,day,char,hour,Domain Objects
20,fromtime,char,hour,Domain Objects
21,id,int,hour,Domain Objects
22,store_id,int,hour,Domain Objects
23,totime,char,hour,Domain Objects
24,email,char,store,Domain Objects
25,id,int,store,Domain Objects
26,location_id,int,store,Domain Objects
27,paypalemail,char,store,Domain Objects
28,phone,char,store,Domain Objects
29,scripeemail,char,store,Domain Objects
30,storename,char,store,Domain Objects
31,subscribe,int,store,Domain Objects
32,tax,char,store,Domain Objects
33,user_id,char,store,Domain Objects
34,locations_id,int,user_location,Domain Objects
35,username,char,user_location,Domain Objects
36,email,char,User,Domain Objects
37,enabled,int,User,Domain Objects
38,firstname,char,User,Domain Objects
39,hasStore,int,User,Domain Objects
40,isAdmin,int,User,Domain Objects
41,joined,int,User,Domain Objects
42,lastname,char,User,Domain Objects
43,password,char,User,Domain Objects
44,phone,char,User,Domain Objects
45,username,char,User,Domain Objects
46,date,int,orders,Domain Objects
47,groupid,char,orders,Domain Objects
48,id,int,orders,Domain Objects
49,instruction,char,orders,Domain Objects
50,location_id,int,orders,Domain Objects
51,pickup,int,orders,Domain Objects
52,status,char,orders,Domain Objects
53,store_id,int,orders,Domain Objects
54,total,float,orders,Domain Objects
55,user_id,char,orders,Domain Objects
56,address,char,orderentry,Domain Objects
57,dfee,char,orderentry,Domain Objects
58,ename,char,orderentry,Domain Objects
59,id,int,orderentry,Domain Objects
60,message,char,orderentry,Domain Objects
61,order_id,int,orderentry,Domain Objects
62,pickup,int,orderentry,Domain Objects
63,price,float,orderentry,Domain Objects
64,product_id,int,orderentry,Domain Objects
65,quantity,integer,orderentry,Domain Objects
66,status,char,orderentry,Domain Objects
67,comment,char,review,Domain Objects
68,date,int,review,Domain Objects
69,id,int,review,Domain Objects
70,product_id,int,review,Domain Objects
71,rank,int,review,Domain Objects
72,user_id,int,review,Domain Objects
73,added,int,product,Domain Objects
74,available,int,product,Domain Objects
75,description,char,product,Domain Objects
76,id,int,product,Domain Objects
77,image,char,product,Domain Objects
78,pickup,int,product,Domain Objects
79,price,float,product,Domain Objects
80,purchased,int,product,Domain Objects
81,store_id,int,product,Domain Objects
82,tags,char,product,Domain Objects
83,tracking,int,product,Domain Objects
84,viewed,int,product,Domain Objects
85,colors_name,char,product_color,Domain Objects
86,products_id,int,product_color,Domain Objects
87,occasions_name,char,products_occasion,Domain Objects
88,products_id,char,products_occasion,Domain Objects
89,name,char,Color,Domain Objects
90,name,char,occasion,Domain Objects
91,cart,ShoppingCart,CustomerProfileController,Domain Classes
92,cus,CustomerUserService,CustomerProfileController,Domain Classes
93,fs,FloristService,CustomerProfileController,Domain Classes
94,os,OrderService,CustomerProfileController,Domain Classes
95,ps,ProductService,CustomerProfileController,Domain Classes
96,rs,ReviewService,CustomerProfileController,Domain Classes
97,comment,String,ReviewForm,Domain Classes
98,rank,int,ReviewForm,Domain Classes
99,oer,OrderEntryRepository,Review,Domain Classes
100,pr,ProductRepository,Review,Domain Classes
101,rs,ReviewRepository,Review,Domain Classes
102,ur,UserRepository,Review,Domain Classes
103,comment,String,ReviewInfo,Domain Classes
104,customer,Customer,ReviewInfo,Domain Classes
105,date,Date,ReviewInfo,Domain Classes
106,id,Double,ReviewInfo,Domain Classes
107,product,Product,ReviewInfo,Domain Classes
108,rank,Int,ReviewInfo,Domain Classes
109,context,ServiceContext,OrderService,Domain Classes
110,orderService,ReviewService,OrderController,Domain Classes
111,comment,String,OrderForm,Domain Classes
112,quantity,Int,OrderForm,Domain Classes
113,recipientCity,String,OrderForm,Domain Classes
114,recipientState,String,OrderForm,Domain Classes
115,recipientZipcode,String,OrderForm,Domain Classes
116,sellerId,int,OrderForm,Domain Classes
117,date,Date,Order,Domain Classes
118,orderId,Int,Order,Domain Classes
119,quantity,Int,Order,Domain Classes
120,receipientZipcode,String,Order,Domain Classes
121,recipientCity,String,Order,Domain Classes
122,recipientState,String,Order,Domain Classes
123,sellerId,int,Order,Domain Classes
124,status,String,Order,Domain Classes
125,total,Double,Order,Domain Classes
126,floristService,FloristService,FloristProfileController,Domain Classes
127,getStore,null,FloristProfileController,Domain Classes
128,productService,ProductService,FloristProfileController,Domain Classes
129,description,String,ProductForm,Domain Classes
130,image,String,ProductForm,Domain Classes
131,name,String,ProductForm,Domain Classes
132,occassion,List<String>,ProductForm,Domain Classes
133,price,Double,ProductForm,Domain Classes
134,or,OccassionRepository,ProductService,Domain Classes
135,pr,ProductRepository,ProductService,Domain Classes
136,sc,ServerContext,ProductService,Domain Classes
137,st,StoreRepository,ProductService,Domain Classes
138,added,Date,Product,Domain Classes
139,available,Boolean,Product,Domain Classes
140,image,String,Product,Domain Classes
141,name,String,Product,Domain Classes
142,occasion,List<String>,Product,Domain Classes
143,orderEntries,Set<OrderEntry>,Product,Domain Classes
144,pickUp,Boolean,Product,Domain Classes
145,price,Double,Product,Domain Classes
146,review,Set<Reviews>,Product,Domain Classes
147,email,String,CustomerForm,Domain Classes
148,name,String,CustomerForm,Domain Classes
149,password,String,CustomerForm,Domain Classes
150,phone,String,CustomerForm,Domain Classes
151,cs,CustomerService,CustomerController,Domain Classes
152,ur,UserRepository,CustomerController,Domain Classes
153,email,String,Customer,Domain Classes
154,firstname,String,Customer,Domain Classes
155,hasStore,Boolean,Customer,Domain Classes
156,isAdmin,Boolean,Customer,Domain Classes
157,joined,Date,Customer,Domain Classes
158,lastname,String,Customer,Domain Classes
159,orders,Set<Orders>,Customer,Domain Classes
160,password,String,Customer,Domain Classes
161,phone,String,Customer,Domain Classes
162,reviews,Reviews,Customer,Domain Classes
163,username,String,Customer,Domain Classes
164,customerRepository,CustomerRepository,CustomerService,Domain Classes
165,pe:,ShaPasswordEncoder,CustomerService,Domain Classes
166,findByUsername,customer:String,CustomerRepository,Domain Classes
167,FloristService,char,FloristController,Domain Classes
168,UserRepository,char,FloristController,Domain Classes
169,address,String,FloristForm,Domain Classes
170,attribute,String,FloristForm,Domain Classes
171,businessName,String,FloristForm,Domain Classes
172,city,String,FloristForm,Domain Classes
173,Name,String,FloristForm,Domain Classes
174,password,String,FloristForm,Domain Classes
175,paypal,String,FloristForm,Domain Classes
176,phone,String,FloristForm,Domain Classes
177,state,String,FloristForm,Domain Classes
178,storeEmail,String,FloristForm,Domain Classes
179,storeName,String,FloristForm,Domain Classes
180,userPhone,String,FloristForm,Domain Classes
181,zipcode,int,FloristForm,Domain Classes
182,HourRepository,int,FloristService,Domain Classes
183,LocationRepository,char,FloristService,Domain Classes
184,ProductReository,char,FloristService,Domain Classes
185,ShaPasswordEncoder,int,FloristService,Domain Classes
186,StoreRespository,char,FloristService,Domain Classes
187,SubscriptionRepository,char,FloristService,Domain Classes
188,UserRepository,char,FloristService,Domain Classes
189,ZipcodeRepository,int,FloristService,Domain Classes
190,Address,char,Florist,Domain Classes
191,BusinessName,char,Florist,Domain Classes
192,Email,char,Florist,Domain Classes
193,Name,char,Florist,Domain Classes
194,Password,char,Florist,Domain Classes
195,Phone,char,Florist,Domain Classes
196,Rankweight,int,Florist,Domain Classes
197,Zipcode,int,Florist,Domain Classes
