id,element,useCase,type,component
1,User:Report icon on the picture,Report Picture - Submit,control,Picture
2,User:report confirm dialog,Report Picture - Submit,entity,reportconfirmdialog
3,Report icon on the picture:prompot confirm,Report Picture - Submit,entity,reportconfirmdialog
4,prompot confirm:Report icon on the picture,Report Picture - Submit,control,Picture
5,prompot confirm:report confirm dialog,Report Picture - Submit,entity,reportconfirmdialog
6,report confirm dialog:store report information,Report Picture - Submit,entity,reportconfirmdialog
7,store report information:report information,Report Picture - Submit,entity,reportconfirmdialog
8,stl#User:Report icon on the picture,Report Picture - Submit,Stimulus,undefined
9,stl#User:report confirm dialog,Report Picture - Submit,Stimulus,undefined
