id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Display Home Page,control,0,1,Cancel Partner Subscription,Cancel Partner Subscription,
2,Cancel Subscription Success Page,boundary,1,2,Cancel Partner Subscription,Cancel Partner Subscription,
3,Subscription,entity,0,1,Cancel Partner Subscription,Cancel Partner Subscription,
4,Display Success Page,control,1,1,Cancel Partner Subscription,Cancel Partner Subscription,
5,Marked as Canceled,control,2,1,Cancel Partner Subscription,Cancel Partner Subscription,
6,Cancel Subscription Comfirmation Page,boundary,2,2,Cancel Partner Subscription,Cancel Partner Subscription,
7,Display Comfirmation Page,control,1,1,Cancel Partner Subscription,Cancel Partner Subscription,
8,Display Cancel Sub page,control,0,1,Cancel Partner Subscription,Cancel Partner Subscription,
9,Cancel Subscription Page,boundary,1,1,Cancel Partner Subscription,Cancel Partner Subscription,
10,Business Partner,actor,3,0,Cancel Partner Subscription,Cancel Partner Subscription,
