id,attribute,type,element
1,genealogy,EAJava_image,Genealogy
2,undefined,EAID_587533B8_71F8_4c8f_BEC2_A3AA5B0CC295,Genealogy
3,image_gallery,EAJava_image,Image Gallery Page
4,Transcript,EAJava_string,Interactive Text
5,undefined,EAID_587533B8_71F8_4c8f_BEC2_A3AA5B0CC295,Interactive Text
6,Info,EAJava_string,Statistics
7,image,EAJava_image,Statistics
8,undefined,EAID_587533B8_71F8_4c8f_BEC2_A3AA5B0CC295,Statistics
9,undefined,EAID_587533B8_71F8_4c8f_BEC2_A3AA5B0CC295,Time Based Media(TBM)
10,map,EAJava_image,Village Map Page
