id,operation,element
1,Genealogy,Genealogy
2,ImageGalleryPage,Image Gallery Page
3,Text_to_TBM,Interactive Text
4,Text_to_Genealogy_Statistics_Highlight,Interactive Text
5,interationliteraturepage,Interactive Text
6,Statistics,Statistics
7,hidethegenealogyandstatisticsframes,Statistics
8,circleidentificationinvideo,Statistics
9,Play,Time Based Media(TBM)
10,Pause,Time Based Media(TBM)
11,Resize,Time Based Media(TBM)
12,RollTranscriptBlock,Time Based Media(TBM)
13,VillageMapPage,Village Map Page
14,staticmapofthetribesvillage,Village Map Page
15,search,Yanomamo HomePage
16,transcriptframeofthehomepage,Yanomamo HomePage
17,Yanomamohomepage,Yanomamo HomePage
18,helpusecasediagramhtm,$help://usecasediagram.htm
19,helpactorhtm,$help://actor.htm
20,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
21,SystemBoundary,System Boundary
22,Student,Student
23,videoframe,videoframe
24,playpauseresicebuttonsofvideoplayer,videoframe
25,Videoplayer,videoframe
26,Controlbarofthevideo,videoframe
27,displaythetranscirptblockonthevideoframe,videoframe
28,loadvideo,videoframe
