id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Actor,actor,4,0,Use Case Model,Search by Location,
2,User Directed to View Photo Use Case,control,0,1,Use Case Model,Search by Location,
3,Photo Database,entity,0,1,Use Case Model,Search by Location,
4,Perform Select Range Search,control,2,1,Use Case Model,Search by Location,
5,Photo View,boundary,1,2,Use Case Model,Search by Location,
6,Range Buttons(Default myhome),boundary,1,2,Use Case Model,Search by Location,
7,Photo Database,entity,0,1,Use Case Model,Search by Location,
8,Photo Search Result List View,boundary,1,2,Use Case Model,Search by Location,
9,List Mutator,control,1,3,Use Case Model,Search by Location,
10,Perform Default Search,control,2,1,Use Case Model,Search by Location,
11,Photo Search Result List,entity,0,1,Use Case Model,Search by Location,
12,Location Screen,boundary,1,2,Use Case Model,Search by Location,
