id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,updatesurveyindb,undefined,undefined,undefined,undefined,undefined,undefined
2,User,undefined,undefined,undefined,undefined,undefined,undefined
3,Object1,undefined,undefined,undefined,undefined,undefined,undefined
4,questionlist,undefined,undefined,undefined,undefined,undefined,undefined
5,successmessage,undefined,undefined,undefined,undefined,undefined,undefined
6,mapofselectedpaths,undefined,undefined,undefined,undefined,undefined,undefined
7,mapview,undefined,undefined,undefined,undefined,undefined,undefined
8,executefeaturenaanddisplaycategories,undefined,undefined,undefined,undefined,undefined,undefined
9,quitwithoutsavingbutton,undefined,undefined,undefined,undefined,undefined,undefined
10,answerstorage,undefined,undefined,undefined,undefined,undefined,undefined
