id,operation,element
1,updatesurveyindb,updatesurveyindb
2,surveylist,updatesurveyindb
3,checkifassociationbetweenpathandsurveyindb,updatesurveyindb
4,logoutuser,User
5,answer,User
6,questionlist,questionlist
7,shcoollist,questionlist
8,surveylist,questionlist
9,pathlist,questionlist
10,displayaquesitonlistofselectedquestiontype,questionlist
11,schoollistpage,questionlist
12,displayafunctionmenu,questionlist
13,questioncategorypage,questionlist
14,confirmationdialog,questionlist
15,sendrequest,questionlist
16,unsweredquestionsfoundmessage,questionlist
17,successmessage,successmessage
18,sameschoolandnamemessage,successmessage
19,insertsuccess,successmessage
20,errormessageforover500characters,successmessage
21,noanswerunderpathmessage,successmessage
22,confirmationmessage,successmessage
23,nosavedsurveyfoundmessage,successmessage
24,mapofselectedpaths,mapofselectedpaths
25,pathdb,mapofselectedpaths
26,loadpathlistfromthedatabase,mapofselectedpaths
27,checkrelatedanswersunderpaths,mapofselectedpaths
28,redirectsurveydeletionpage,mapofselectedpaths
29,tempoararyfile,mapofselectedpaths
30,mapview,mapview
31,executefeaturenaanddisplaycategories,executefeaturenaanddisplaycategories
32,displayerrormessageforsamenameandaddress,executefeaturenaanddisplaycategories
33,deletetheschoolandaddress,executefeaturenaanddisplaycategories
34,Displayaconfirmationdialog,executefeaturenaanddisplaycategories
35,displaypathlist,executefeaturenaanddisplaycategories
36,retriveschoolpathandsurvey,executefeaturenaanddisplaycategories
37,pathandlocationinformation,executefeaturenaanddisplaycategories
38,quitwithoutsavingbutton,quitwithoutsavingbutton
39,savebutton,quitwithoutsavingbutton
40,answerstorage,answerstorage
41,outofavailablestorageerror,answerstorage
42,errormessageforover500characters,answerstorage
43,savetotemporaryfile,answerstorage
44,checkcompleteanswers,answerstorage
45,insertanassociationintodb,answerstorage
