id,element,useCase,type,outboundDegree,inboundDegree
1,Activity2,Use Case5,0,undefined,undefined
2,Input Username and Password,Use Case5,0,undefined,undefined
3,Validate User Information,Use Case5,0,undefined,undefined
4,EA_Activity2,Use Case5,0,undefined,undefined
5,fork,Use Case5,0,undefined,undefined
