id,path,useCase,path_length, boundry_num, control_num, entity_num, actor_num
1,stl#2->2->3->4->5->7->8->9->10->11->12,Use Case 4,undefined,0,0,0,0
2,stl#2->2->3->4->5->6->10->11->12,Use Case 4,undefined,0,0,0,0
3,stl#bookTickets->bookTickets->1,Use Case 4,undefined,0,0,0,0
4,stl#2->2->3->7->13->8->null->9->10->12,Use Case1,undefined,0,0,0,0
5,stl#2->2->3->7->13->8->null->9->10->11,Use Case1,undefined,0,0,0,0
6,stl#2->2->3->4->5->6->null->9->10->12,Use Case1,undefined,0,0,0,0
7,stl#2->2->3->4->5->6->null->9->10->11,Use Case1,undefined,0,0,0,0
8,stl#bookTickets->bookTickets->1,Use Case1,undefined,0,0,0,0
9,stl#Actor1:payment success message->Actor1:payment success message,Use Case2,undefined,1,0,0,0
10,stl#Actor1:Buy tickets interface->Actor1:Buy tickets interface->Buy tickets interface:pay the bill->pay the bill:save bill records,Use Case2,undefined,1,1,1,0
11,stl#Actor1:Buy tickets interface->Actor1:Buy tickets interface->Buy tickets interface:pay the bill->pay the bill:payment success message,Use Case2,undefined,2,1,0,0
12,fork->Validate User Information->Input Username and Password->Validate User Information,Use Case3,undefined,0,0,0,0
13,fork->Input Username and Password->Validate User Information->Input Username and Password,Use Case3,undefined,0,0,0,0
