id,element,useCase,type,component
1,Administrator:user management page,Edit user,boundary,Case Manager
2,Administrator:unauthorized error message,Edit user,entity,Manager
3,Administrator:user information page,Edit user,boundary,Case Manager
4,Administrator:invalid input information error,Edit user,entity,validaterole
5,Administrator:User Management Button,Edit user,boundary,Case Manager
6,Administrator:user edit page,Edit user,control,Limited_User
7,query user information:Email protocol,Edit user,control,Case_email
8,save input user information:Case,Edit user,entity,Cases
9,query user information:User,Edit user,entity,Users
10,save input user information:User,Edit user,entity,Users
11,User Management Button:validate role of user,Edit user,entity,validaterole
12,display user edit page:user edit page,Edit user,control,Limited_User
13,user information page:display user edit page,Edit user,control,Limited_User
14,display user information:user information page,Edit user,boundary,Case Manager
15,save input user information:display user information,Edit user,control,Case_education_history
16,validate input user information:invalid input information error,Edit user,entity,validaterole
17,query user information:user information page,Edit user,boundary,Case Manager
18,user management page:query user information,Edit user,entity,User Security Question
19,validate role of user:role,Edit user,entity,validaterole
20,validate input user information:save input user information,Edit user,entity,User Security Question
21,validate role of user:unauthorized error message,Edit user,entity,Manager
22,user edit page:validate input user information,Edit user,entity,validaterole
23,validate role of user:user management page,Edit user,boundary,Case Manager
24,stl#Administrator:user management page,Edit user,Stimulus,undefined
25,stl#Administrator:unauthorized error message,Edit user,Stimulus,undefined
26,stl#Administrator:user information page,Edit user,Stimulus,undefined
27,stl#Administrator:invalid input information error,Edit user,Stimulus,undefined
28,stl#Administrator:User Management Button,Edit user,Stimulus,undefined
29,stl#Administrator:user edit page,Edit user,Stimulus,undefined
