id,attribute,type,element
1,b_id,EAJava_int,Bride
2,b_firstname,EAJava_varchar,Bride
3,b_middlename,EAJava_varchar,Bride
4,b_lastname,EAJava_varchar,Bride
5,b_fathers_name,EAJava_varchar,Bride
6,b_mothers_name,EAJava_varchar,Bride
7,couple_id,EAJava_int,Couple
8,draggable_id,EAJava_int,Draggable
9,c_id,EAJava_int,Draggable
10,id,EAJava_varchar,Draggable
11,position_top,EAJava_double,Draggable
12,position_left,EAJava_double,Draggable
13,all_positions,EAJava_varchar,Draggable
14,e_id,EAJava_int,Event
15,venue_name,EAJava_varchar,Event
16,venue_address,EAJava_varchar,Event
17,event_name,EAJava_varchar,Event
18,date,EAJava_date,Event
19,venue_phone,EAJava_varchar,Event
20,attire,EAJava_varchar,Event
21,c_id,EAJava_int,Event
22,g_id,EAJava_int,Groom
23,g_firstname,EAJava_varchar,Groom
24,g_middlename,EAJava_varchar,Groom
25,g_lastname,EAJava_varchar,Groom
26,g_fathers_name,EAJava_varchar,Groom
27,g_mothers_name,EAJava_varchar,Groom
28,guest_id,EAJava_int,Guest
29,c_id,EAJava_int,Guest
30,email,EAJava_varchar,Guest
31,firstname,EAJava_varchar,Guest
32,lastname,EAJava_varchar,Guest
33,user_id,EAJava_int,User
34,user_image_id,EAJava_int,UserSpecificContent
35,name,EAJava_varchar,UserSpecificContent
36,path,EAJava_varchar,UserSpecificContent
37,c_id,EAJava_int,UserSpecificContent
