NUM,PROJ,Effort,Path_Num,UseCase_Num,Total_Degree,Element_Num,Total_Links,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,ControlNum,Entity_Num,attribute_num,operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Number_Of_Derived_Classes,Number_Of_Classes_Inherited,Number_Of_Classes_Inherited_From,Number_Of_Children,Depth_Inheritance_Tree,Coupling_Between_Objects, para_num, usage_num, real_num, assoc_num, externaloper_num, objectdata_num, avg_operation, avg_attribute, avg_parameter, avg_usage, avg_real, avg_assoc, avg_instVar, weightedoper_num, method_size,DET,RET,ILF,EIF,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Tran_Length,Arch_Diff,Type,Norm_Factor,KSLOC,Simple_UC, Average_UC, Complex_UC, Normalized_UC_Effort,UEUCW,UEXUCW,UDUCW,UAW,TCF,EF,EUCP,EXUCP,DUCP
1,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications,1328,0,0,0,0,0,0,0,0,0,0,0,13,23,30,13,27,0.129032258,0.111111111,4,3,4,4,3,4,4,29,0,0,0,30,1,2.307692308,1.769230769,2.230769231,0,0,0,1.769230769,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,F13a_LiveRiot_Video_Editing_System_and_socialNetworking_enhancement,432,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,33,0.108108108,0.090909091,4,3,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
3,F13a_MedFRS_Device_Diagnostic_Software,1506.32,0,0,0,0,0,0,0,0,0,0,0,10,32,20,10,39,0.212765957,0.175,8,7,8,8,7,10,8,3,0,0,0,20,6,2,3.2,0.3,0,0,0,3.2,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
4,F13a_OnlineWedding_Management_System,8224.72,0,0,0,0,0,0,0,0,0,0,0,8,37,7,8,45,0.236363636,0.212765957,10,10,10,12,10,13,12,0,0,0,0,7,6,0.875,4.625,0,0,0,0,4.625,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
5,F13a_Spherical_Modeling_Tool,1741.92,0,0,0,0,0,0,0,0,0,0,0,26,15,64,26,68,0.197530864,0.157142857,13,11,13,15,11,16,15,1,0,1,0,64,0,2.461538462,0.576923077,0.038461538,0,0.038461538,0,0.576923077,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
6,F13a_Surgery_Assist,1092.88,0,0,0,0,0,0,0,0,0,0,0,7,10,7,7,75,0.181818182,0.142857143,13,11,13,15,11,16,15,0,0,0,0,7,4,1,1.428571429,0,0,0,0,1.428571429,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
7,F13a_Yanomamo Interactive CDROM,384.56,0,0,0,0,0,0,0,0,0,0,0,7,10,7,7,82,0.181818182,0.142857143,13,11,13,15,11,16,15,0,0,0,0,7,4,1,1.428571429,0,0,0,0,1.428571429,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
8,S13b_PTS_RID,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0.181818182,0.142857143,13,11,13,15,11,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
9,S13b_SomaticsWeb_DataServices,541,0,0,0,0,0,0,0,0,0,0,0,5,25,0,5,87,0.172043011,0.134146341,13,11,13,15,11,16,15,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
10,S13b_United_Direct_Marketing,NA,0,0,0,0,0,0,0,0,0,0,0,5,1,6,5,88,0.204081633,0.180722892,17,15,17,19,15,20,19,9,0,0,0,6,0,1.2,0.2,1.8,0,0,0,0.2,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
