id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->Navigation bar->Tap a icon on navigation bar->is  user logged in?->display search screen->search screen,EQ,CTRL|INT,6,undefined,3,0,1,Use Case Model,Navigation
2,User->Navigation bar->Tap a icon on navigation bar->is  user logged in?->display event screen->event screen,EQ,CTRL|INT,6,undefined,3,0,1,Use Case Model,Navigation
3,User->Navigation bar->Tap a icon on navigation bar->is  user logged in?->display  log in screen->Log in screen,EQ,CTRL|INT,6,undefined,3,0,1,Use Case Model,Navigation
4,User->Navigation bar->Tap a icon on navigation bar->is  user logged in?->display photo screen->Photo screen,EQ,CTRL|INT,6,undefined,3,0,1,Use Case Model,Navigation
5,User->Navigation bar->Tap a icon on navigation bar->is  user logged in?->display profile screen->profile screen,EQ,CTRL|INT,6,undefined,3,0,1,Use Case Model,Navigation
6,Display navigation bar->Navigation bar->Tap a icon on navigation bar->is  user logged in?->display search screen->search screen,FUNC_NA,TRAN_NA,6,undefined,4,0,0,Use Case Model,Navigation
7,Display navigation bar->Navigation bar->Tap a icon on navigation bar->is  user logged in?->display event screen->event screen,FUNC_NA,TRAN_NA,6,undefined,4,0,0,Use Case Model,Navigation
8,Display navigation bar->Navigation bar->Tap a icon on navigation bar->is  user logged in?->display  log in screen->Log in screen,FUNC_NA,TRAN_NA,6,undefined,4,0,0,Use Case Model,Navigation
9,Display navigation bar->Navigation bar->Tap a icon on navigation bar->is  user logged in?->display photo screen->Photo screen,FUNC_NA,TRAN_NA,6,undefined,4,0,0,Use Case Model,Navigation
10,Display navigation bar->Navigation bar->Tap a icon on navigation bar->is  user logged in?->display profile screen->profile screen,FUNC_NA,TRAN_NA,6,undefined,4,0,0,Use Case Model,Navigation
