id,attribute,type,element
1,ConfigParameter,EAJava_string,Data Service Configuration Form
2,Date,EAJava_date,Data Service Configuration Form
3,Type,EAJava_string,Data Service Configuration Form
4,UserID,EAJava_int,Data Service Configuration Form
5,Date,EAJava_date,Product Configuration
6,FormID,EAJava_int,Product Configuration
7,ProductConfigurationID,EAJava_int,Product Configuration
8,PurchasingType,EAJava_string,Product Configuration
9,TotalFee,EAJava_float,Product Configuration
10,UserID,EAJava_int,Product Configuration
11,SignalDate,EAJava_float,Sensor Data Export File
12,Tick,EAJava_int,Sensor Data Export File
13,TimeDuration,EAJava_float,Sensor Data Export File
14,UserID,EAJava_int,Sensor Data Export File
15,Config,EAJava_string,Sensor Product Configuration Form
16,Date,EAJava_date,Sensor Product Configuration Form
17,Price,EAJava_float,Sensor Product Configuration Form
18,Quantity,EAJava_int,Sensor Product Configuration Form
19,SensorProductID,EAJava_int,Sensor Product Configuration Form
20,UserID,EAJava_int,Sensor Product Configuration Form
21,UserEmail,EAJava_string,User Account
22,UserName,EAJava_string,User Account
23,UserPassword,EAJava_string,User Account
24,UserRegisteredDate,EAJava_date,User Account
25,UserType,EAJava_string,User Account
