id,element,useCase,type,component
1,User:Homepage,insert course detail,boundary,Displaypage
2,User:Course detail page,insert course detail,control,course detail
3,User:Make some changes,insert course detail,boundary,semester
4,Course detail page:course profie page,insert course detail,boundary,pair course
5,Display comfirmation page:Homepage,insert course detail,boundary,Displaypage
6,course profie page:Display comfirmation page,insert course detail,boundary,Displaypage
7,Make some changes:course profie page,insert course detail,boundary,pair course
8,course profie page:database,insert course detail,entity,counselor data
9,stl#User:Homepage,insert course detail,Stimulus,undefined
10,stl#User:Course detail page,insert course detail,Stimulus,undefined
11,stl#User:Make some changes,insert course detail,Stimulus,undefined
