id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->Register Online Button->redirect to registration page->Registration Page,EQ,CTRL|INT,4,undefined,1,0,1,Online registration,Online registration
2,User->Registration Page->Rest cal for inserting registration data->Validate registration information->Neon CRM,FUNC_NA,CTRL|EXTIVK,5,undefined,2,0,2,Online registration,Online registration
3,User->Registration Page->Rest cal for inserting registration data->Validate registration information->Display an invalid error message->Invalid error message,EQ,CTRL|INT,6,undefined,3,0,1,Online registration,Online registration
