id,path,useCase,transactional,tran_length,arch_diff
1,stl#Business Partner:Cancel Subscription Comfirmation Page->Business Partner:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Subscription,Cancel Partner Subscription,CTRL,4,4
2,stl#Business Partner:Cancel Subscription Comfirmation Page->Business Partner:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Display Success Page->Display Success Page:Cancel Subscription Success Page->Cancel Subscription Success Page:Display Home Page,Cancel Partner Subscription,CTRL,6,6
3,stl#Business Partner:Cancel Subscription Comfirmation Page->Business Partner:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Display Cancel Sub page,Cancel Partner Subscription,CTRL,3,3
4,stl#Business Partner:Cancel Subscription Success Page->Business Partner:Cancel Subscription Success Page->Cancel Subscription Success Page:Display Home Page,Cancel Partner Subscription,CTRL,3,3
5,stl#Business Partner:Cancel Subscription Page->Business Partner:Cancel Subscription Page->Cancel Subscription Page:Display Comfirmation Page->Display Comfirmation Page:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Subscription,Cancel Partner Subscription,CTRL,6,6
6,stl#Business Partner:Cancel Subscription Page->Business Partner:Cancel Subscription Page->Cancel Subscription Page:Display Comfirmation Page->Display Comfirmation Page:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Marked as Canceled->Marked as Canceled:Display Success Page->Display Success Page:Cancel Subscription Success Page->Cancel Subscription Success Page:Display Home Page,Cancel Partner Subscription,CTRL,8,8
7,stl#Business Partner:Cancel Subscription Page->Business Partner:Cancel Subscription Page->Cancel Subscription Page:Display Comfirmation Page->Display Comfirmation Page:Cancel Subscription Comfirmation Page->Cancel Subscription Comfirmation Page:Display Cancel Sub page,Cancel Partner Subscription,CTRL,5,5
