id,element,useCase,type,component
1,Actor:photo list,Admin deletes photo,boundary,photolist
2,cancel deletion:select photos,Admin deletes photo,boundary,photolist
3,photo list:cancel deletion,Admin deletes photo,control,canceldeletion
4,change mode:photo list,Admin deletes photo,boundary,photolist
5,confirm delete photos:photo,Admin deletes photo,boundary,photolist
6,select photos:confirm delete photos,Admin deletes photo,control,canceldeletion
7,pop up photo connection error:photo,Admin deletes photo,boundary,photolist
8,photo list:select photos,Admin deletes photo,boundary,photolist
9,photo list:pop up photo connection error,Admin deletes photo,boundary,photolist
10,User:photo list,Admin deletes photo,boundary,photolist
11,stl#Actor:photo list,Admin deletes photo,Stimulus,undefined
12,stl#User:photo list,Admin deletes photo,Stimulus,undefined
13,Actor:Search box,Admin searches for photo by event,control,Searchbox
14,Actor:Event list,Admin searches for photo by event,entity,event
15,Actor:Admin page,Admin searches for photo by event,control,Adminpage
16,Get event list:Admin page,Admin searches for photo by event,control,Adminpage
17,User:Admin page,Admin searches for photo by event,control,Adminpage
18,Display event list:Event list,Admin searches for photo by event,entity,event
19,Get event list:Display event list,Admin searches for photo by event,entity,event
20,Event list:Get photo list,Admin searches for photo by event,boundary,photolist
21,User:Event list,Admin searches for photo by event,entity,event
22,Pop up photo connection error:Event list,Admin searches for photo by event,entity,event
23,Get event list:Search box,Admin searches for photo by event,control,Searchbox
24,event:Get event list,Admin searches for photo by event,entity,event
25,Get photo list:photo,Admin searches for photo by event,boundary,photolist
26,Get photo list:display photo list,Admin searches for photo by event,boundary,photolist
27,display photo list:Photo list,Admin searches for photo by event,boundary,photolist
28,photo:Pop up photo connection error,Admin searches for photo by event,boundary,photolist
29,User:Search box,Admin searches for photo by event,control,Searchbox
30,pop up event connection error:Search box,Admin searches for photo by event,control,Searchbox
31,pop up event connection error:event,Admin searches for photo by event,entity,event
32,stl#Actor:Search box,Admin searches for photo by event,Stimulus,undefined
33,stl#Actor:Event list,Admin searches for photo by event,Stimulus,undefined
34,stl#Actor:Admin page,Admin searches for photo by event,Stimulus,undefined
