id,element,useCase,type,component
1,User:Rating input page,Rate a provider,entity,Rating
2,User:rate button,Rate a provider,actor,Addproviderbutton
3,User:Search provider page,Rate a provider,control,Redirecttosearchpage
4,Display all provider based on criteria:Provider,Rate a provider,actor,Addproviderbutton
5,Display all provider based on criteria:rate button,Rate a provider,actor,Addproviderbutton
6,Search provider page:Display all provider based on criteria,Rate a provider,actor,Addproviderbutton
7,Display rating input page:Redirect to search page,Rate a provider,control,Redirecttosearchpage
8,Display rating input page:Rating input page,Rate a provider,entity,Rating
9,rate button:Display rating input page,Rate a provider,entity,Rating
10,Update provider rating information:Rating,Rate a provider,entity,Rating
11,Rating input page:Update provider rating information,Rate a provider,actor,Addproviderbutton
12,Redirect to search page:Search provider page,Rate a provider,control,Redirecttosearchpage
13,stl#User:Rating input page,Rate a provider,Stimulus,undefined
14,stl#User:rate button,Rate a provider,Stimulus,undefined
15,stl#User:Search provider page,Rate a provider,Stimulus,undefined
