id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Actor,actor,1,0,Use Case Model,Create Account,
2,Display pop-up "invalid email or email is already in use" on Sign Up Screen,control,1,1,Use Case Model,Create Account,
3,User Collection,entity,0,1,Use Case Model,Create Account,
4,verify username,control,3,1,Use Case Model,Create Account,
5,verify email,control,2,1,Use Case Model,Create Account,
6,Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen,control,1,1,Use Case Model,Create Account,
7,Account,entity,0,1,Use Case Model,Create Account,
8,verify password,control,2,1,Use Case Model,Create Account,
9,Display pop-up "invalid password" on Sign Up Screen,control,1,1,Use Case Model,Create Account,
10,verify confirm password,control,0,1,Use Case Model,Create Account,
11,Display pop-up "Password do not match" on Sign up Screen,control,2,0,Use Case Model,Create Account,
12,Sign up Screen,boundary,1,6,Use Case Model,Create Account,
