id,element,useCase,type,outboundDegree,inboundDegree
1,User:Hashtag icon,Browse Event Pictures,0,undefined,undefined
2,User:Search Result,Browse Event Pictures,0,undefined,undefined
3,User:Hashtag input box,Browse Event Pictures,0,undefined,undefined
4,User:Picture Display,Browse Event Pictures,0,undefined,undefined
5,Hashtag icon:Show hashtag text input,Browse Event Pictures,0,undefined,undefined
6,Hashtag input box:Search,Browse Event Pictures,0,undefined,undefined
7,Show hashtag text input:Hashtag input box,Browse Event Pictures,0,undefined,undefined
8,shows the  pictures clicked:Picture Display,Browse Event Pictures,0,undefined,undefined
9,Search:picture,Browse Event Pictures,0,undefined,undefined
10,Search Result:shows the  pictures clicked,Browse Event Pictures,0,undefined,undefined
11,shows the search result:Search Result,Browse Event Pictures,0,undefined,undefined
12,picture:shows the search result,Browse Event Pictures,0,undefined,undefined
13,stl#User:Hashtag icon,Browse Event Pictures,0,undefined,undefined
14,stl#User:Search Result,Browse Event Pictures,0,undefined,undefined
15,stl#User:Hashtag input box,Browse Event Pictures,0,undefined,undefined
16,stl#User:Picture Display,Browse Event Pictures,0,undefined,undefined
