id,element,useCase,type,component
1,Student:interation/literature page,view interpretations/literature on video,boundary,Interactive Text
2,Student:Interpretations/Literature link in home page,view interpretations/literature on video,boundary,Interactive Text
3,Interpretations/Literature link in home page:display athe interpretations/literature page,view interpretations/literature on video,boundary,Interactive Text
4,display athe interpretations/literature page:interation/literature page,view interpretations/literature on video,boundary,Interactive Text
5,stl#Student:interation/literature page,view interpretations/literature on video,Stimulus,undefined
6,stl#Student:Interpretations/Literature link in home page,view interpretations/literature on video,Stimulus,undefined
