NUM,UC,Path_Num,UseCase_Num,Total_Degree,Element_Num,Total_Links,Avg_Degree,Avg_Path_Length,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,Control_Num,Entity_Num,EI,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_Tran_Length,Arch_Diff,UEUCW,UEXUCW,UDUCW,Effort
1,Use Case 4,3,undefined,0,15,0,0,7.666666666666667,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,7.666666666666667,NaN,15,15,15,undefined
2,Use Case1,5,undefined,0,17,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,8.6,NaN,15,25,25,undefined
3,Use Case2,3,undefined,0,7,0,0,3.3333333333333335,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,2,1,2,NaN,15,5,5,undefined
4,Use Case3,2,undefined,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,4,NaN,15,10,8,undefined
5,Use Case5,0,undefined,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,15,0,0,undefined
