id, element_name, attribute_num,operation_num
EAID_71E960EC_CE7C_41a7_9F46_8EC6FC135394,Domain Model,0,0,0
EAID_F45AD4A5_17FC_487a_9DC5_C48499AAAF14,Domain Objects,0,0,8
EAID_06F85F38_807E_407b_AFCE_DBC6C598E065,Domain Classes,0,0,21
