id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,Traveler->Manage trip plan screen->trip plan controller->fetch place->Place,EI,CTRL|DM|EI,5,undefined,2,1,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
2,Traveler->Manage trip plan screen->trip plan controller->Display->View trip plan on map screen,EQ,CTRL|INT,5,undefined,2,0,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
3,Traveler->Manage trip plan screen->trip plan controller->fetch map->Map,EI,CTRL|DM|EI,5,undefined,2,1,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
