id,element,useCase,type,outboundDegree,inboundDegree
1,FT:Coupon Invalid,Test Coupon,0,undefined,undefined
2,FT:Coupon Redeemed,Test Coupon,0,undefined,undefined
3,FT:Coupon Page,Test Coupon,0,undefined,undefined
4,Coupon Validator:Coupon Database,Test Coupon,0,undefined,undefined
5,Redeem Coupon:Coupon Database,Test Coupon,0,undefined,undefined
6,Coupon Invalid:Coupon Validator,Test Coupon,0,undefined,undefined
7,Coupon Page:Save coupon for later,Test Coupon,0,undefined,undefined
8,Coupon Page:Redeem Coupon,Test Coupon,0,undefined,undefined
9,Coupon Redeemed:Coupon Validator,Test Coupon,0,undefined,undefined
10,Generate Test Coupon:Partner's Mobile,Test Coupon,0,undefined,undefined
11,Test Coupon:Generate Test Coupon,Test Coupon,0,undefined,undefined
12,Partner's Mobile:Open Coupon Page,Test Coupon,0,undefined,undefined
13,Save coupon for later:Partner's Mobile,Test Coupon,0,undefined,undefined
14,stl#FT:Coupon Invalid,Test Coupon,0,undefined,undefined
15,stl#FT:Coupon Redeemed,Test Coupon,0,undefined,undefined
16,stl#FT:Coupon Page,Test Coupon,0,undefined,undefined
