id,element,useCase,type,outboundDegree,inboundDegree
1,Actor:Event Screen,View photos of event/View photos of private event with password,0,undefined,undefined
2,Determine if user is event owner:Event,View photos of event/View photos of private event with password,0,undefined,undefined
3,Determine if user is event owner:Hide Edit Button,View photos of event/View photos of private event with password,0,undefined,undefined
4,Event Screen:Determine if user is event owner,View photos of event/View photos of private event with password,0,undefined,undefined
5,Display Remaining Event Time:Event,View photos of event/View photos of private event with password,0,undefined,undefined
6,Event Screen:Display Remaining Event Time,View photos of event/View photos of private event with password,0,undefined,undefined
7,Event Screen:Photo Collection,View photos of event/View photos of private event with password,0,undefined,undefined
8,Event Screen:Retrieve Photos for Event,View photos of event/View photos of private event with password,0,undefined,undefined
9,Event Screen:Navigate to Photo Selected Screen,View photos of event/View photos of private event with password,0,undefined,undefined
10,Handle photo retrieval error:Event Screen,View photos of event/View photos of private event with password,0,undefined,undefined
11,User:Event Screen,View photos of event/View photos of private event with password,0,undefined,undefined
12,Hide Edit Button:Event Screen,View photos of event/View photos of private event with password,0,undefined,undefined
13,Retrieve Photos for Event:Handle photo retrieval error,View photos of event/View photos of private event with password,0,undefined,undefined
14,Retrieve Photos for Event:Photo Collection,View photos of event/View photos of private event with password,0,undefined,undefined
15,stl#Actor:Event Screen,View photos of event/View photos of private event with password,0,undefined,undefined
16,stl#User:Event Screen,View photos of event/View photos of private event with password,0,undefined,undefined
