id,element,useCase,type,outboundDegree,inboundDegree
1,User:Redeem Coupon Page,Redeem Coupon - Android,0,undefined,undefined
2,User:Login page,Redeem Coupon - Android,0,undefined,undefined
3,User:Admin Login page,Redeem Coupon - Android,0,undefined,undefined
4,Admin Login page:Enter Username and password,Redeem Coupon - Android,0,undefined,undefined
5,Click Redeem Button:Remove,Redeem Coupon - Android,0,undefined,undefined
6,Input Coupon Code ID:Click Redeem Button,Redeem Coupon - Android,0,undefined,undefined
7,Scan QR Code:Click Redeem Button,Redeem Coupon - Android,0,undefined,undefined
8,Remove:Coupons,Redeem Coupon - Android,0,undefined,undefined
9,Enter Username and password:Coupons,Redeem Coupon - Android,0,undefined,undefined
10,Display redeemed coupon page:Coupons,Redeem Coupon - Android,0,undefined,undefined
11,Database:Display redeemed coupon page,Redeem Coupon - Android,0,undefined,undefined
12,Display redeemed coupon page:Redeemed coupon record page,Redeem Coupon - Android,0,undefined,undefined
13,Enter Username and password:Redeemed coupon record page,Redeem Coupon - Android,0,undefined,undefined
14,Enter Username and password:Redeemed coupon record page,Redeem Coupon - Android,0,undefined,undefined
15,Login page:Enter Username and password,Redeem Coupon - Android,0,undefined,undefined
16,Redeem Coupon Page:Input Coupon Code ID,Redeem Coupon - Android,0,undefined,undefined
17,Redeem Coupon Page:Scan QR Code,Redeem Coupon - Android,0,undefined,undefined
18,stl#User:Redeem Coupon Page,Redeem Coupon - Android,0,undefined,undefined
19,stl#User:Login page,Redeem Coupon - Android,0,undefined,undefined
20,stl#User:Admin Login page,Redeem Coupon - Android,0,undefined,undefined
