id,element,useCase,type,component
1,User:updae success message,Add new degreee requirement,boundary,deletionsuccessmessage
2,User:incorrect input,Add new degreee requirement,control,incorrectinput
3,User:choose requirement types,Add new degreee requirement,boundary,requirementslists
4,User:requirements lists,Add new degreee requirement,boundary,requirementslists
5,check correct newss of the input:incorrect input,Add new degreee requirement,control,incorrectinput
6,check correct newss of the input:show confirmation the new requirement is added,Add new degreee requirement,boundary,requirementslists
7,check correct newss of the input:course requirements,Add new degreee requirement,boundary,requirementslists
8,show specified requirements by parameters:check correct newss of the input,Add new degreee requirement,control,incorrectinput
9,choose requirement types:show specified requirements by parameters,Add new degreee requirement,boundary,requirementslists
10,show specified requirements by parameters:course requirements,Add new degreee requirement,boundary,requirementslists
11,show specified requirements by parameters:requirements lists,Add new degreee requirement,boundary,requirementslists
12,show confirmation the new requirement is added:updae success message,Add new degreee requirement,boundary,deletionsuccessmessage
13,stl#User:updae success message,Add new degreee requirement,Stimulus,undefined
14,stl#User:incorrect input,Add new degreee requirement,Stimulus,undefined
15,stl#User:choose requirement types,Add new degreee requirement,Stimulus,undefined
16,stl#User:requirements lists,Add new degreee requirement,Stimulus,undefined
