id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,system error when saving registration information,boundary,0,2,Register as Valet,Register as Valet,
2,management empolyee page,boundary,0,2,Register as Valet,Register as Valet,
3,duplicate registration information,boundary,0,2,Register as Valet,Register as Valet,
4,navigate to manage employee page,control,1,1,Register as Valet,Register as Valet,
5,successfully save registration information,boundary,1,2,Register as Valet,Register as Valet,
6,save valet information,control,4,1,Register as Valet,Register as Valet,
7,validate registration information,control,5,1,Register as Valet,Register as Valet,
8,registration page,boundary,1,2,Register as Valet,Register as Valet,
9,displays registration page,control,1,1,Register as Valet,Register as Valet,
10,registration information invalid message,boundary,0,2,Register as Valet,Register as Valet,
11,display spinner while saving information,boundary,0,2,Register as Valet,Register as Valet,
12,employee,entity,0,2,Register as Valet,Register as Valet,
13,register button,boundary,1,1,Register as Valet,Register as Valet,
14,Valet,actor,9,0,Register as Valet,Register as Valet,
