NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Upload document,20,2,5,4,2,13,8,4,12,0,0,0,12,4,0,0,0,0,1.5384615384615385,4.5,6.923076923076923,12
2,View document,25,5,4,5,2,16,9,9,24,6,0,0,24,9,0,0,0,0,1.5625,4.5,7.03125,24
3,Create a new case,20,2,5,3,2,12,8,4,12,0,0,0,12,4,0,0,0,0,1.6666666666666667,4.333333333333333,7.222222222222222,12
4,Check case information,24,3,3,2,2,10,6,6,12,0,0,0,12,6,0,0,0,0,2.4,4.5,10.799999999999999,12
5,Edit case,27,2,5,5,3,15,8,6,14,0,0,0,14,6,0,0,0,0,1.8,4.285714285714286,7.714285714285714,14
6,Log an activity,21,3,3,3,1,10,6,3,9,0,0,0,9,3,0,0,0,0,2.1,4.333333333333333,9.1,9
7,Report generation,27,3,5,5,4,17,8,8,18,2,0,0,18,8,0,0,0,0,1.588235294117647,4.555555555555555,7.235294117647058,18
8,Login,18,2,4,4,1,11,3,2,6,1,0,0,6,2,0,0,0,0,1.6363636363636365,4.166666666666667,6.818181818181819,6
9,Create high-level user,15,1,5,4,2,12,4,2,6,0,0,0,6,2,0,0,0,0,1.25,4.166666666666667,5.208333333333334,6
10,Create a youth user,16,2,5,4,3,14,3,3,7,1,0,0,7,3,0,0,0,0,1.1428571428571428,4.285714285714286,4.897959183673469,7
11,Edit user,21,1,6,6,2,15,6,3,9,0,0,0,9,3,0,0,0,0,1.4,4.333333333333333,6.0666666666666655,9
12,Activate user,15,1,5,3,2,11,4,2,6,0,0,0,6,2,0,0,0,0,1.3636363636363635,4.333333333333333,5.909090909090908,6
13,Inactivate user,14,1,5,3,2,11,4,2,6,0,0,0,6,2,0,0,0,0,1.2727272727272727,4.333333333333333,5.515151515151515,6
14,Reset Password,19,2,5,3,2,12,8,4,12,0,0,0,12,4,0,0,0,0,1.5833333333333333,4.333333333333333,6.861111111111111,12
15,Reset Security Questions,19,2,5,3,2,12,8,4,12,0,0,0,12,4,0,0,0,0,1.5833333333333333,4.333333333333333,6.861111111111111,12
16,Mass Email,28,4,5,5,3,17,12,9,24,3,0,0,24,9,0,0,0,0,1.6470588235294117,5,8.235294117647058,24
