id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,update case information page,control,1,1,Upload document,Upload document
2,document,entity,0,1,Upload document,Upload document
3,case information page,boundary,0,3,Upload document,Upload document
4,invalid description message,boundary,0,3,Upload document,Upload document
5,save uploaded document,control,2,1,Upload document,Upload document
6,role,entity,0,1,Upload document,Upload document
7,document upload page,boundary,1,3,Upload document,Upload document
8,unauthorized information message,boundary,0,3,Upload document,Upload document
9,Validate the information of description,control,2,1,Upload document,Upload document
10,validate role of user,control,3,1,Upload document,Upload document
11,Add new button,boundary,1,2,Upload document,Upload document
12,Administrator,actor,5,0,Upload document,Upload document
13,Case Manager,actor,5,0,Upload document,Upload document
14,role,entity,0,2,View document,View document
15,Printer service,actor,0,1,View document,View document
16,File Manager,actor,0,1,View document,View document
17,query document,control,2,1,View document,View document
18,Youth,actor,4,0,View document,View document
19,print,control,2,1,View document,View document
20,unauthorized request,boundary,0,4,View document,View document
21,download,control,2,1,View document,View document
22,db,entity,0,1,View document,View document
23,document upload page,boundary,1,4,View document,View document
24,unauthorized request message,boundary,0,4,View document,View document
25,Validate print/download request,control,4,1,View document,View document
26,validate role of user,control,3,1,View document,View document
27,document list,boundary,1,3,View document,View document
28,Administrator,actor,4,0,View document,View document
29,Case Manager,actor,4,0,View document,View document
30,case,entity,0,1,Create a new case,Create a new case
31,success message,boundary,0,4,Create a new case,Create a new case
32,invalid case information error,boundary,0,3,Create a new case,Create a new case
33,save case information,control,3,1,Create a new case,Create a new case
34,role,entity,0,1,Create a new case,Create a new case
35,case information page,boundary,1,3,Create a new case,Create a new case
36,unauthorized information message,boundary,0,3,Create a new case,Create a new case
37,Validate the information of description,control,2,1,Create a new case,Create a new case
38,validate role of user,control,3,1,Create a new case,Create a new case
39,Creae new case button,boundary,1,2,Create a new case,Create a new case
40,Administrator,actor,5,0,Create a new case,Create a new case
41,Case Manager,actor,5,0,Create a new case,Create a new case
42,role,entity,0,2,Check case information,Check case information
43,Administrator,actor,3,1,Check case information,Check case information
44,General staff,actor,3,1,Check case information,Check case information
45,display case information page,control,2,1,Check case information,Check case information
46,case information,entity,0,1,Check case information,Check case information
47,case information page,boundary,1,6,Check case information,Check case information
48,unauthorized request message,boundary,0,6,Check case information,Check case information
49,verify the role of the user,control,3,1,Check case information,Check case information
50,document list,boundary,1,5,Check case information,Check case information
51,Case Manager,actor,4,0,Check case information,Check case information
52,Administrator,actor,5,0,Edit case,Edit case
53,save case update information,control,1,1,Edit case,Edit case
54,informatin invalid error message,boundary,0,3,Edit case,Edit case
55,role,entity,0,1,Edit case,Edit case
56,validate input information,control,2,1,Edit case,Edit case
57,case information,entity,0,1,Edit case,Edit case
58,case information edit page,boundary,1,4,Edit case,Edit case
