id,path,functional,transactional,path_length,diagram,useCase
1,Case Manager->document upload page->Validate the information of description->save uploaded document->update case information page->case information page,EQ,CTRL|INT,undefined,Upload document,Upload document
2,Case Manager->document upload page->Validate the information of description->save uploaded document->document,EI,CTRL|DM|EI,undefined,Upload document,Upload document
3,Case Manager->document upload page->Validate the information of description->invalid description message,EQ,CTRL|INT,undefined,Upload document,Upload document
4,Case Manager->Add new button->validate role of user->unauthorized information message,EQ,CTRL|INT,undefined,Upload document,Upload document
5,Case Manager->Add new button->validate role of user->document upload page,EQ,CTRL|INT,undefined,Upload document,Upload document
6,Case Manager->Add new button->validate role of user->role,EI,CTRL|DM|EI,undefined,Upload document,Upload document
7,Administrator->document upload page->Validate the information of description->save uploaded document->update case information page->case information page,EQ,CTRL|INT,undefined,Upload document,Upload document
8,Administrator->document upload page->Validate the information of description->save uploaded document->document,EI,CTRL|DM|EI,undefined,Upload document,Upload document
9,Administrator->document upload page->Validate the information of description->invalid description message,EQ,CTRL|INT,undefined,Upload document,Upload document
10,Administrator->Add new button->validate role of user->unauthorized information message,EQ,CTRL|INT,undefined,Upload document,Upload document
11,Administrator->Add new button->validate role of user->document upload page,EQ,CTRL|INT,undefined,Upload document,Upload document
12,Administrator->Add new button->validate role of user->role,EI,CTRL|DM|EI,undefined,Upload document,Upload document
13,Case Manager->document list->validate role of user->query document->db,EI,CTRL|DM|EI,undefined,View document,View document
14,Case Manager->document list->validate role of user->query document->document upload page,EQ,CTRL|INT,undefined,View document,View document
15,Case Manager->document list->validate role of user->role,EI,CTRL|DM|EI,undefined,View document,View document
16,Case Manager->document list->validate role of user->unauthorized request message,EQ,CTRL|INT,undefined,View document,View document
17,Case Manager->document upload page->Validate print/download request->print->Printer service,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
18,Case Manager->document upload page->Validate print/download request->unauthorized request,EQ,CTRL|INT,undefined,View document,View document
19,Case Manager->document upload page->Validate print/download request->download->File Manager,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
20,Case Manager->document upload page->Validate print/download request->role,EI,CTRL|DM|EI,undefined,View document,View document
21,Administrator->document upload page->Validate print/download request->print->Printer service,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
22,Administrator->document upload page->Validate print/download request->unauthorized request,EQ,CTRL|INT,undefined,View document,View document
23,Administrator->document upload page->Validate print/download request->download->File Manager,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
24,Administrator->document upload page->Validate print/download request->role,EI,CTRL|DM|EI,undefined,View document,View document
25,Administrator->document list->validate role of user->query document->db,EI,CTRL|DM|EI,undefined,View document,View document
26,Administrator->document list->validate role of user->query document->document upload page,EQ,CTRL|INT,undefined,View document,View document
27,Administrator->document list->validate role of user->role,EI,CTRL|DM|EI,undefined,View document,View document
28,Administrator->document list->validate role of user->unauthorized request message,EQ,CTRL|INT,undefined,View document,View document
29,Youth->document list->validate role of user->query document->db,EI,CTRL|DM|EI,undefined,View document,View document
30,Youth->document list->validate role of user->query document->document upload page,EQ,CTRL|INT,undefined,View document,View document
31,Youth->document list->validate role of user->role,EI,CTRL|DM|EI,undefined,View document,View document
32,Youth->document list->validate role of user->unauthorized request message,EQ,CTRL|INT,undefined,View document,View document
33,Youth->document upload page->Validate print/download request->print->Printer service,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
34,Youth->document upload page->Validate print/download request->unauthorized request,EQ,CTRL|INT,undefined,View document,View document
35,Youth->document upload page->Validate print/download request->download->File Manager,FUNC_NA,CTRL|EXTIVK,undefined,View document,View document
36,Youth->document upload page->Validate print/download request->role,EI,CTRL|DM|EI,undefined,View document,View document
37,Case Manager->case information page->Validate the information of description->save case information->case,EI,CTRL|DM|EI,undefined,Create a new case,Create a new case
38,Case Manager->case information page->Validate the information of description->save case information->success message,EQ,CTRL|INT,undefined,Create a new case,Create a new case
39,Case Manager->case information page->Validate the information of description->invalid case information error,EQ,CTRL|INT,undefined,Create a new case,Create a new case
40,Case Manager->Creae new case button->validate role of user->role,EI,CTRL|DM|EI,undefined,Create a new case,Create a new case
41,Case Manager->Creae new case button->validate role of user->case information page,EQ,CTRL|INT,undefined,Create a new case,Create a new case
42,Case Manager->Creae new case button->validate role of user->unauthorized information message,EQ,CTRL|INT,undefined,Create a new case,Create a new case
43,Administrator->Creae new case button->validate role of user->role,EI,CTRL|DM|EI,undefined,Create a new case,Create a new case
44,Administrator->Creae new case button->validate role of user->case information page,EQ,CTRL|INT,undefined,Create a new case,Create a new case
45,Administrator->Creae new case button->validate role of user->unauthorized information message,EQ,CTRL|INT,undefined,Create a new case,Create a new case
46,Administrator->case information page->Validate the information of description->save case information->case,EI,CTRL|DM|EI,undefined,Create a new case,Create a new case
47,Administrator->case information page->Validate the information of description->save case information->success message,EQ,CTRL|INT,undefined,Create a new case,Create a new case
48,Administrator->case information page->Validate the information of description->invalid case information error,EQ,CTRL|INT,undefined,Create a new case,Create a new case
49,Case Manager->document list->verify the role of the user->display case information page->case information,EI,CTRL|DM|EI,undefined,Check case information,Check case information
50,Case Manager->document list->verify the role of the user->display case information page->case information page,EQ,CTRL|INT,undefined,Check case information,Check case information
51,Case Manager->document list->verify the role of the user->unauthorized request message,EQ,CTRL|INT,undefined,Check case information,Check case information
52,Case Manager->document list->verify the role of the user->role,EI,CTRL|DM|EI,undefined,Check case information,Check case information
53,General staff->document list->verify the role of the user->display case information page->case information,EI,CTRL|DM|EI,undefined,Check case information,Check case information
54,General staff->document list->verify the role of the user->display case information page->case information page,EQ,CTRL|INT,undefined,Check case information,Check case information
55,General staff->document list->verify the role of the user->unauthorized request message,EQ,CTRL|INT,undefined,Check case information,Check case information
56,General staff->document list->verify the role of the user->role,EI,CTRL|DM|EI,undefined,Check case information,Check case information
57,Administrator->document list->verify the role of the user->display case information page->case information,EI,CTRL|DM|EI,undefined,Check case information,Check case information
58,Administrator->document list->verify the role of the user->display case information page->case information page,EQ,CTRL|INT,undefined,Check case information,Check case information
59,Administrator->document list->verify the role of the user->unauthorized request message,EQ,CTRL|INT,undefined,Check case information,Check case information
60,Administrator->document list->verify the role of the user->role,EI,CTRL|DM|EI,undefined,Check case information,Check case information
61,Case Manager->list of cases->query detail of a case->case information page,EQ,CTRL|INT,undefined,Edit case,Edit case
62,Case Manager->list of cases->query detail of a case->case,EI,CTRL|DM|EI,undefined,Edit case,Edit case
63,Case Manager->case information page->validate role->unauthorized error message,EQ,CTRL|INT,undefined,Edit case,Edit case
64,Case Manager->case information page->validate role->role,EI,CTRL|DM|EI,undefined,Edit case,Edit case
65,Case Manager->case information page->validate role->display information edit page->case information edit page,EQ,CTRL|INT,undefined,Edit case,Edit case
66,Case Manager->case information edit page->validate input information->save case update information->case information,EI,CTRL|DM|EI,undefined,Edit case,Edit case
67,Case Manager->case information edit page->validate input information->informatin invalid error message,EQ,CTRL|INT,undefined,Edit case,Edit case
68,Administrator->case information page->validate role->unauthorized error message,EQ,CTRL|INT,undefined,Edit case,Edit case
69,Administrator->case information page->validate role->role,EI,CTRL|DM|EI,undefined,Edit case,Edit case
70,Administrator->case information page->validate role->display information edit page->case information edit page,EQ,CTRL|INT,undefined,Edit case,Edit case
71,Administrator->list of cases->query detail of a case->case information page,EQ,CTRL|INT,undefined,Edit case,Edit case
72,Administrator->list of cases->query detail of a case->case,EI,CTRL|DM|EI,undefined,Edit case,Edit case
73,Administrator->case information edit page->validate input information->save case update information->case information,EI,CTRL|DM|EI,undefined,Edit case,Edit case
74,Administrator->case information edit page->validate input information->informatin invalid error message,EQ,CTRL|INT,undefined,Edit case,Edit case
75,Case Manager->Add new button->display activity description page->activity description page,EQ,CTRL|INT,undefined,Log an activity,Log an activity
76,Case Manager->activity description page->validate activity description->blank description error,EQ,CTRL|INT,undefined,Log an activity,Log an activity
77,Case Manager->activity description page->validate activity description->insert activity into case->case information,EI,CTRL|DM|EI,undefined,Log an activity,Log an activity
78,Administrator->activity description page->validate activity description->blank description error,EQ,CTRL|INT,undefined,Log an activity,Log an activity
79,Administrator->activity description page->validate activity description->insert activity into case->case information,EI,CTRL|DM|EI,undefined,Log an activity,Log an activity
80,Administrator->Add new button->display activity description page->activity description page,EQ,CTRL|INT,undefined,Log an activity,Log an activity
81,General staff->Add new button->display activity description page->activity description page,EQ,CTRL|INT,undefined,Log an activity,Log an activity
82,General staff->activity description page->validate activity description->blank description error,EQ,CTRL|INT,undefined,Log an activity,Log an activity
83,General staff->activity description page->validate activity description->insert activity into case->case information,EI,CTRL|DM|EI,undefined,Log an activity,Log an activity
84,Case Manager->Report button->validate role of user->unauthorized error message,EQ,CTRL|INT,undefined,Report generation,Report generation
85,Case Manager->Report button->validate role of user->display report generation page->report generation page,EQ,CTRL|INT,undefined,Report generation,Report generation
86,Case Manager->Report button->validate role of user->role,EI,CTRL|DM|EI,undefined,Report generation,Report generation
87,Case Manager->report detail page->print->Printer,FUNC_NA,CTRL|EXTIVK,undefined,Report generation,Report generation
88,Case Manager->report generation page->validate input information for the report->save report to db->case,EI,CTRL|DM|EI,undefined,Report generation,Report generation
89,Case Manager->report generation page->validate input information for the report->save report to db->report detail page,EQ,CTRL|INT,undefined,Report generation,Report generation
90,Case Manager->report generation page->validate input information for the report->save report to db->user,EI,CTRL|DM|EI,undefined,Report generation,Report generation
