id,element,useCase,type,outboundDegree,inboundDegree
1,Business Partner:Cancel Subscription Page,Cancel Partner Subscription,0,undefined,undefined
2,Business Partner:Cancel Subscription Success Page,Cancel Partner Subscription,0,undefined,undefined
3,Business Partner:Cancel Subscription Comfirmation Page,Cancel Partner Subscription,0,undefined,undefined
4,Cancel Subscription Comfirmation Page:Display Cancel Sub page,Cancel Partner Subscription,0,undefined,undefined
5,Cancel Subscription Comfirmation Page:Marked as Canceled,Cancel Partner Subscription,0,undefined,undefined
6,Display Comfirmation Page:Cancel Subscription Comfirmation Page,Cancel Partner Subscription,0,undefined,undefined
7,Cancel Subscription Page:Display Comfirmation Page,Cancel Partner Subscription,0,undefined,undefined
8,Cancel Subscription Success Page:Display Home Page,Cancel Partner Subscription,0,undefined,undefined
9,Display Success Page:Cancel Subscription Success Page,Cancel Partner Subscription,0,undefined,undefined
10,Marked as Canceled:Display Success Page,Cancel Partner Subscription,0,undefined,undefined
11,Marked as Canceled:Subscription,Cancel Partner Subscription,0,undefined,undefined
12,stl#Business Partner:Cancel Subscription Page,Cancel Partner Subscription,0,undefined,undefined
13,stl#Business Partner:Cancel Subscription Success Page,Cancel Partner Subscription,0,undefined,undefined
14,stl#Business Partner:Cancel Subscription Comfirmation Page,Cancel Partner Subscription,0,undefined,undefined
