id,path,functional,transactional,path_length,diagram,useCase
1,User->Account create page->validate input information->save user account->account,EI,CTRL|DM|EI,undefined,Create a new account,Create a new account
2,User->Account create page->validate input information->save user account->user profile page,EQ,CTRL|INT,undefined,Create a new account,Create a new account
3,User->Account create page->validate input information->invalid input information,EQ,CTRL|INT,undefined,Create a new account,Create a new account
