id,element,useCase,type,component
1,Weight loser:goal detail display,track goal,entity,goal
2,Weight loser:goal has some sponsors,track goal,entity,goal
3,Weight loser:track goal button,track goal,entity,goal
4,show goals details:goal detail display,track goal,entity,goal
5,retrieve goal details:goal has some sponsors,track goal,entity,goal
6,retrieve goal details:goal info,track goal,entity,goal
7,retrieve goal details:show goals details,track goal,entity,goal
8,track goal button:retrieve goal details,track goal,entity,goal
9,stl#Weight loser:goal detail display,track goal,Stimulus,undefined
10,stl#Weight loser:goal has some sponsors,track goal,Stimulus,undefined
11,stl#Weight loser:track goal button,track goal,Stimulus,undefined
