id,path,transactional,path_length,diagram,useCase
1,Score->Algortihm to scale->Update Rank,TRAN_NA,3,Algorithm,Algorithm
2,Score->Algortihm to scale->Show Rank,TRAN_NA,3,Algorithm,Algorithm
