id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Public Event Name Field->User:Public Event Name Field->Public Event Name Field:Create the public event->Create the public event:Public Event,Create Public Events,CTRL,4,3,NaN,undefined,NaN
2,stl#User:Public Event Name Field->User:Public Event Name Field->Public Event Name Field:Check presence of the event->Check presence of the event:Warning Information of Duplicate,Create Public Events,CTRL;EXTCLL;INT,4,3,NaN,undefined,NaN
3,stl#User:Warning Information of Duplicate->User:Warning Information of Duplicate,Create Public Events,CTRL;EXTCLL;INT,2,1,NaN,undefined,NaN
