"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d","index"
"16","tm3","ucp","pred25","+",0.06,0,0,0,0.01,1.03,"tm3-ucp-pred25"
"17","tm3","fp","pred25","+",0.06,0.03,0,0,0.01,0.4,"tm3-fp-pred25"
"18","tm3","cosmic","pred25","+",0.06,0.03,0,0,0.01,0.4,"tm3-cosmic-pred25"
"19","tm3","sloc","pred25","+",0.06,0,0,0,0.01,1.03,"tm3-sloc-pred25"
"20","tm3","ln_sloc","pred25","-",0.06,0.09,0,0,0.01,-0.37,"tm3-ln_sloc-pred25"
"5","tm3","ln_sloc","mmre","+",0.68,1.17,0,0,0.02,-1.83,"tm3-ln_sloc-mmre"
"35","tm3","ln_sloc","mdmre","+",0.63,1.01,0,0,0.02,-1.52,"tm3-ln_sloc-mdmre"
"50","tm3","ln_sloc","mae","+",2.38,4.09,0,0,0.02,-1.83,"tm3-ln_sloc-mae"
"2","tm3","fp","mmre","+",0.68,1.92,0,0,0.02,-2.36,"tm3-fp-mmre"
"32","tm3","fp","mdmre","+",0.63,1.47,0,0,0.02,-1.85,"tm3-fp-mdmre"
"47","tm3","fp","mae","+",2.38,6.71,0,0,0.02,-2.36,"tm3-fp-mae"
"3","tm3","cosmic","mmre","+",0.68,2.83,0,0,0.03,-2.29,"tm3-cosmic-mmre"
"4","tm3","sloc","mmre","+",0.68,2.79,0,0,0.03,-2.89,"tm3-sloc-mmre"
"33","tm3","cosmic","mdmre","+",0.63,1.74,0,0,0.03,-1.3,"tm3-cosmic-mdmre"
"34","tm3","sloc","mdmre","+",0.63,2.66,0,0,0.03,-3.53,"tm3-sloc-mdmre"
"48","tm3","cosmic","mae","+",2.38,9.91,0,0,0.03,-2.29,"tm3-cosmic-mae"
"49","tm3","sloc","mae","+",2.38,9.76,0,0,0.03,-2.89,"tm3-sloc-mae"
