"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d"
"1","tm3","ucp","mmre","+",0.67933426755881,4.51722053079998,0.0004999500049995,0.0004999500049995,0.02999700029997,-2.69617916436571
"2","tm3","fp","mmre","+",0.67933426755881,1.9172068352834,0.0003999600039996,0.0004999500049995,0.023997600239976,-2.36190610035722
"3","tm3","cosmic","mmre","+",0.67933426755881,2.8306709886847,0.0004999500049995,0.0004999500049995,0.02999700029997,-2.288025311381
"4","tm3","sloc","mmre","+",0.67933426755881,2.78786558750609,0.0004999500049995,0.0004999500049995,0.02999700029997,-2.88819870051827
"5","tm3","ln_sloc","mmre","+",0.67933426755881,1.16753512138685,0.0002999700029997,0.0004999500049995,0.017998200179982,-1.83392554182078
"6","ucp","fp","mmre","-",4.51722053079998,1.9172068352834,0.0004999500049995,0.0004999500049995,0.02999700029997,1.72350060911901
"7","ucp","cosmic","mmre","-",4.51722053079998,2.8306709886847,0.0004999500049995,0.0004999500049995,0.02999700029997,0.992916722129478
"8","ucp","sloc","mmre","-",4.51722053079998,2.78786558750609,0.0004999500049995,0.0004999500049995,0.02999700029997,1.08636389407503
"9","ucp","ln_sloc","mmre","-",4.51722053079998,1.16753512138685,0.0004999500049995,0.0004999500049995,0.02999700029997,2.32709327426395
"10","fp","cosmic","mmre","+",1.9172068352834,2.8306709886847,0.0004999500049995,0.0004999500049995,0.02999700029997,-0.857935281099809
"11","fp","sloc","mmre","+",1.9172068352834,2.78786558750609,0.0004999500049995,0.0004999500049995,0.02999700029997,-0.984236032540612
"12","fp","ln_sloc","mmre","-",1.9172068352834,1.16753512138685,9.99900009999e-05,0.000333300003333,0.005999400059994,1.32438654334773
"13","cosmic","sloc","mmre","-",2.8306709886847,2.78786558750609,0.0002999700029997,0.0004999500049995,0.017998200179982,0.0362818736024842
"14","cosmic","ln_sloc","mmre","-",2.8306709886847,1.16753512138685,0.0004999500049995,0.0004999500049995,0.02999700029997,1.72475621159117
"15","sloc","ln_sloc","mmre","-",2.78786558750609,1.16753512138685,0.0004999500049995,0.0004999500049995,0.02999700029997,2.1299697343724
"16","tm3","ucp","pred25","+",0.0571428571428571,0,9.99900009999e-05,0.000333300003333,0.005999400059994,1.03279555898864
"17","tm3","fp","pred25","+",0.0571428571428571,0.0285714285714286,9.99900009999e-05,0.000333300003333,0.005999400059994,0.4
"18","tm3","cosmic","pred25","+",0.0571428571428571,0.0285714285714286,9.99900009999e-05,0.000333300003333,0.005999400059994,0.4
"19","tm3","sloc","pred25","+",0.0571428571428571,0,9.99900009999e-05,0.000333300003333,0.005999400059994,1.03279555898864
"20","tm3","ln_sloc","pred25","-",0.0571428571428571,0.0857142857142857,9.99900009999e-05,0.000333300003333,0.005999400059994,-0.365148371670111
"21","ucp","fp","pred25","-",0,0.0285714285714286,9.99900009999e-05,0.000333300003333,0.005999400059994,-0.632455532033676
"22","ucp","cosmic","pred25","-",0,0.0285714285714286,9.99900009999e-05,0.000333300003333,0.005999400059994,-0.632455532033676
"23","ucp","sloc","pred25","=",0,0,9.99900009999e-05,0.000333300003333,0.005999400059994,NA
"24","ucp","ln_sloc","pred25","-",0,0.0857142857142857,9.99900009999e-05,0.000333300003333,0.005999400059994,-1.54919333848297
"25","fp","cosmic","pred25","=",0.0285714285714286,0.0285714285714286,9.99900009999e-05,0.000333300003333,0.005999400059994,0
"26","fp","sloc","pred25","+",0.0285714285714286,0,9.99900009999e-05,0.000333300003333,0.005999400059994,0.632455532033676
"27","fp","ln_sloc","pred25","-",0.0285714285714286,0.0857142857142857,9.99900009999e-05,0.000333300003333,0.005999400059994,-0.8
"28","cosmic","sloc","pred25","+",0.0285714285714286,0,9.99900009999e-05,0.000333300003333,0.005999400059994,0.632455532033676
"29","cosmic","ln_sloc","pred25","-",0.0285714285714286,0.0857142857142857,9.99900009999e-05,0.000333300003333,0.005999400059994,-0.8
"30","sloc","ln_sloc","pred25","-",0,0.0857142857142857,9.99900009999e-05,0.000333300003333,0.005999400059994,-1.54919333848297
"31","tm3","ucp","mdmre","+",0.630162435528585,2.62313352656566,0.0004999500049995,0.0004999500049995,0.02999700029997,-2.22842418830833
"32","tm3","fp","mdmre","+",0.630162435528585,1.46957228879371,0.0003999600039996,0.0004999500049995,0.023997600239976,-1.85330034759561
