,model1,model2,metric,model1_mean,model2_mean,bonferroni_p_value
1,SWT,UCP,PRED25,0.06,0,0.01
2,SWT,IFPUG,PRED25,0.06,0.03,0.01
3,SWT,SLOC,PRED25,0.06,0,0.01
4,SWT,LOG SLOC,MMRE,0.68,1.17,0.02
5,SWT,LOG SLOC,MDMRE,0.63,1.01,0.02
6,SWT,LOG SLOC,MAE,2.38,4.09,0.02
7,SWT,IFPUG,MMRE,0.68,1.92,0.02
8,SWT,IFPUG,MDMRE,0.63,1.47,0.02
9,SWT,IFPUG,MAE,2.38,6.71,0.02
10,SWT,UCP,MMRE,0.68,4.52,0.03
11,SWT,COSMIC,MMRE,0.68,2.83,0.03
12,SWT,SLOC,MMRE,0.68,2.79,0.03
13,SWT,UCP,MDMRE,0.63,2.62,0.03
14,SWT,COSMIC,MDMRE,0.63,1.74,0.03
15,SWT,SLOC,MDMRE,0.63,2.66,0.03
16,SWT,UCP,MAE,2.38,15.81,0.03
17,SWT,COSMIC,MAE,2.38,9.91,0.03
18,SWT,SLOC,MAE,2.38,9.76,0.03
