,r,p-value,Rank
SWTII,0.76,0,1
AFP,0.67,0,2
SWTI,0.61,0,3
SWTIII,0.61,0,4
LOG_SLOC,0.37,0.03,5
COSMIC,0.36,0.04,6
SLOC,0.34,0.05,7
UUCP,0.33,0.06,8
