id,element,useCase,type,component
1,User:Input information,update resource,control,Accessallstudentinformation
2,User:Manage resource button,update resource,control,Manageresourcesbutton
3,User:Choose one of  resources and update,update resource,control,Manageresourcesbutton
4,User:Choose one of  resources and update,update resource,control,Manageresourcesbutton
5,User:Input information,update resource,control,Accessallstudentinformation
6,User:Homepage,update resource,control,Homepage
7,Choose one of  resources and update:show update inforamtion resource,update resource,control,Accessallstudentinformation
8,Choose one of  resources and update:show update inforamtion resource,update resource,control,Accessallstudentinformation
9,show update inforamtion resource:Database,update resource,entity,Database
10,show update inforamtion resource:Homepage,update resource,control,Homepage
11,Input information:show update inforamtion resource,update resource,control,Accessallstudentinformation
12,Input information:show update inforamtion resource,update resource,control,Accessallstudentinformation
13,Manage resource button:Show lists of resources,update resource,control,Manageresourcesbutton
14,Show lists of resources:show update inforamtion resource,update resource,control,Accessallstudentinformation
15,stl#User:Input information,update resource,Stimulus,undefined
16,stl#User:Manage resource button,update resource,Stimulus,undefined
17,stl#User:Choose one of  resources and update,update resource,Stimulus,undefined
18,stl#User:Choose one of  resources and update,update resource,Stimulus,undefined
19,stl#User:Input information,update resource,Stimulus,undefined
20,stl#User:Homepage,update resource,Stimulus,undefined
