id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,case,entity,0,1,Create a new case,Create a new case,
2,success message,boundary,0,4,Create a new case,Create a new case,
3,invalid case information error,boundary,0,3,Create a new case,Create a new case,
4,save case information,control,3,1,Create a new case,Create a new case,
5,role,entity,0,1,Create a new case,Create a new case,
6,case information page,boundary,1,3,Create a new case,Create a new case,
7,unauthorized information message,boundary,0,3,Create a new case,Create a new case,
8,Validate the information of description,control,2,1,Create a new case,Create a new case,
9,validate role of user,control,3,1,Create a new case,Create a new case,
10,Creae new case button,boundary,1,2,Create a new case,Create a new case,
11,Administrator,actor,5,0,Create a new case,Create a new case,
12,Case Manager,actor,5,0,Create a new case,Create a new case,
