id,path,functional,transactional,path_length,diagram,useCase
1,Case Manager->case information page->Validate the information of description->save case information->case,EI,CTRL|DM|EI,undefined,Create a new case,Create a new case
2,Case Manager->case information page->Validate the information of description->save case information->success message,EQ,CTRL|INT,undefined,Create a new case,Create a new case
3,Case Manager->case information page->Validate the information of description->invalid case information error,EQ,CTRL|INT,undefined,Create a new case,Create a new case
4,Case Manager->Creae new case button->validate role of user->role,EI,CTRL|DM|EI,undefined,Create a new case,Create a new case
5,Case Manager->Creae new case button->validate role of user->case information page,EQ,CTRL|INT,undefined,Create a new case,Create a new case
6,Case Manager->Creae new case button->validate role of user->unauthorized information message,EQ,CTRL|INT,undefined,Create a new case,Create a new case
7,Administrator->Creae new case button->validate role of user->role,EI,CTRL|DM|EI,undefined,Create a new case,Create a new case
8,Administrator->Creae new case button->validate role of user->case information page,EQ,CTRL|INT,undefined,Create a new case,Create a new case
9,Administrator->Creae new case button->validate role of user->unauthorized information message,EQ,CTRL|INT,undefined,Create a new case,Create a new case
10,Administrator->case information page->Validate the information of description->save case information->case,EI,CTRL|DM|EI,undefined,Create a new case,Create a new case
11,Administrator->case information page->Validate the information of description->save case information->success message,EQ,CTRL|INT,undefined,Create a new case,Create a new case
12,Administrator->case information page->Validate the information of description->invalid case information error,EQ,CTRL|INT,undefined,Create a new case,Create a new case
