id,element,useCase,type,outboundDegree,inboundDegree
1,Administrator:Billstatus page,View Partner Billing status storyboard,0,undefined,undefined
2,Billstatus page:Display search result,View Partner Billing status storyboard,0,undefined,undefined
3,Billstatus page:Query Transaction Log and Partner Info,View Partner Billing status storyboard,0,undefined,undefined
4,Display redemption statistics screen:Billstatus page,View Partner Billing status storyboard,0,undefined,undefined
5,Search:Display redemption statistics screen,View Partner Billing status storyboard,0,undefined,undefined
6,Display search result:Search,View Partner Billing status storyboard,0,undefined,undefined
7,Display search result:Search result page,View Partner Billing status storyboard,0,undefined,undefined
8,Search:Display search result,View Partner Billing status storyboard,0,undefined,undefined
9,Query Transaction Log and Partner Info:Partner Info,View Partner Billing status storyboard,0,undefined,undefined
10,Query Transaction Log and Partner Info:Partner data,View Partner Billing status storyboard,0,undefined,undefined
11,Search:Partner data,View Partner Billing status storyboard,0,undefined,undefined
12,Query Transaction Log and Partner Info:Transaction Log,View Partner Billing status storyboard,0,undefined,undefined
13,Query Transaction Log and Partner Info:Search,View Partner Billing status storyboard,0,undefined,undefined
14,stl#Administrator:Billstatus page,View Partner Billing status storyboard,0,undefined,undefined
