"","MMRE","rank1","PRED25","rank2","MAE","rank3","MDMRE","rank4","rank*"
"1",0.76,5,0.35,1,1809.03,1,0.51,2,2
"2",0.67,2,0.27,2,1953.08,2,0.51,1,1
"3",0.6,1,0.22,3,2170.34,3,0.6,3,3
"4",0.69,3,0.08,4,2586.35,4,0.63,4,4
"5",0.72,4,0.08,4,2626.05,5,0.74,5,5
"6",0.78,6,0.05,6,2934.71,6,0.78,6,6
