"","MMRE","rank1","PRED25","rank2","MAE","rank3","MDMRE","rank4","rank*"
"1",0.78,6,0.33,1,1841.6,1,0.53,2,2
"2",0.69,4,0.32,2,1981.65,2,0.5,1,1
"3",0.64,3,0.23,3,2097.81,3,0.56,3,3
"4",0.63,1,0.17,4,2190.8,4,0.61,5,4
"5",0.64,2,0.13,5,2284.6,5,0.59,4,5
"6",0.71,5,0.1,6,2408.24,6,0.65,6,6
