,Proj.,TRANS,TL,TL_SE,TD,TD_SE,DETs,DETs_SE,SWTIII,SWTII,SWTI,AFP,Effort
F14a_tipsure_com,21,80,5.59,1.6,11.07,5.82,1.22,1.19,204.6,106.46,94.1,466,266
F14a_women_at_work_website_redesign,22,39,5.44,1.42,6.46,3.05,8.87,11.45,144.69,70.97,62.73,392,140.5
F15a_combat_conflict,23,35,4.29,1.53,4.73,1.76,0.29,0.46,53.3,40.74,36.01,229,181
f15a_CombatConflict,24,37,5.34,1.64,4.38,2.05,1.03,0.74,63.56,42.06,37.17,301,169
F15a_construction_meeting_minutes_application,25,143,4.71,1.57,6.21,2.18,1.4,1.21,314.2,177.43,156.83,677,482.5
f15a_ConstructionMeeting_MinutesApp,26,76,5.04,0.98,2.58,0.9,1.25,0.78,93.17,72.29,63.89,530,62
f15a_Lingggo,27,30,6.36,1.38,4.68,1.34,2.24,1.76,65.85,32.86,29.04,344,172
F15a_linggo,28,37,4.76,3.27,5.4,5.77,2.24,3.11,58.91,38.11,33.69,255,172
f15a_NICE,29,87,5.19,0.91,4.28,2.06,1.02,0.52,96.24,74.91,66.22,421,163
F15a_nice_ecommerse,30,127,4.88,1.8,5.69,4,1.22,1.31,228.65,147.2,130.11,637,617
F15a_tour_conductor,31,34,4.71,1.43,5.29,2.11,1.55,1.37,82.81,49.94,44.14,262,47
f16a_Fuppy,32,32,4.59,0.73,3.05,0.78,1.27,0.7,30.51,28.91,25.56,263,487
f16a_GoGrrrlsApp,33,48,4.97,1.55,4.41,2.19,0.61,0.5,65.04,49.94,44.14,394,1960
f16a_Newlette_Coins,34,75,5.02,1.19,2.65,0.83,1.53,0.77,153.23,107.77,95.26,101,147
Improvementon_on_VITA_website,35,29,5.9,1.14,3.28,0.64,1.29,1.19,42.74,27.6,24.4,178,1336
Improving_Thai_CDC,36,163,5.64,1.02,5.13,1.81,2.06,1.93,361.93,184,162.64,709,363
Istartonmonday_com,37,121,5.28,1.03,3.36,1.13,3.37,4.42,194.55,130.11,115.01,571,524
Leamos_TM,38,58,5.6,1.31,3.54,1.42,4.86,3.45,99.39,55.2,48.79,351,948
LEMA_FAMILY_ACCOUNTABILITY_SYSTEM,39,133,4.46,0.89,7.05,4.34,0.98,0.77,153.23,107.77,95.26,706,793
LEMA_Pilot_School_Integrated_Scheduling_System,40,75,5.02,1.19,2.65,0.83,1.53,1.05,106.23,76.23,67.38,471,349.81
Los_Angeles_Child_Guidance_Clinic_Employment_Opportunities_Online_Application_System,41,118,5.34,1.01,3.1,1.38,1.26,0.89,168.96,126.17,111.52,743,595.6
