id,element,useCase,type,component
1,send reset link by email:Email Protocol,Add users,control,Volunteer Couch Details
2,User:User add page,Add users,entity,User Details
3,User:User add button,Add users,entity,User Details
4,User:save user information success message,Add users,control,Team Information
5,User add button:display user add page,Add users,entity,User Details
6,User add page:save user information,Add users,control,Team Information
7,User add page:send reset link by email,Add users,entity,User Details
8,display user add page:User add page,Add users,entity,User Details
9,save user information:User info,Add users,entity,User Details
10,save user information:save user information success message,Add users,control,Team Information
11,stl#User:User add page,Add users,Stimulus,undefined
12,stl#User:User add button,Add users,Stimulus,undefined
13,stl#User:save user information success message,Add users,Stimulus,undefined
