id,path,functional,transactional,path_length,diagram,useCase
1,User->Previous Page->View trip plans->Verify user's session->Login page,EQ,CTRL|INT,undefined,Connect to trip plan,Connect to trip plan - Android
2,User->Previous Page->View trip plans->Verify user's session->Collect information->Show trip plans page,EQ,CTRL|INT,undefined,Connect to trip plan,Connect to trip plan - Android
3,Trip plans database table->Collect information->Show trip plans page,FUNC_NA,TRAN_NA,undefined,Connect to trip plan,Connect to trip plan - Android
